,obsID,Name,MNV startTime¥_šUTC¥_Š,obs Mode,J2000_RA,J2000_Dec,Exp(ks)
1,O010129316005,BLANK_SKY2,01/08/2018 01:31,Point,57.3952,-24.3781,10
2,O010129312004,BLANK_SKY6,01/08/2018 06:17,Point,322.5919,-23.0951,10
3,O010129311005,BLANK_SKY7,01/08/2018 11:03,Point,312.1284,-36.5756,10
4,O011466101102,MAXI J1820+070,01/08/2018 15:50,Point,275.091,7.1856,10
5,O010131001024,GRS 1915+105,01/08/2018 20:36,Point,288.7981,10.9458,10
6,O010129303008,BLANK_SKY17,02/08/2018 01:22,Point,233.4943,-3.4427,10
7,O010129305009,BLANK_SKY14,02/08/2018 06:09,Point,258.4627,57.472,10
8,O011466101103,MAXI J1820+070,02/08/2018 10:55,Point,275.091,7.1856,15
9,O010131001025,GRS 1915+105,02/08/2018 18:52,Point,288.7981,10.9458,15
21,O011466101104,MAXI J1820+070,04/08/2018 12:13,Point,275.091,7.1856,15
22,O010131001026,GRS 1915+105,04/08/2018 18:35,Point,288.7981,10.9458,15
23,O010131501016,Cyg X-1,05/08/2018 02:32,Point,299.5903,35.2016,20
24,O011466101107,MAXI J1820+070,05/08/2018 12:05,Point,275.091,7.1856,10
25,O010131001029,GRS 1915+105,05/08/2018 16:51,Point,288.7981,10.9458,10
26,O010130001028,Cyg X-2,05/08/2018 21:37,Point,326.1715,38.3214,20
27,O011466101108,MAXI J1820+070,06/08/2018 07:10,Point,275.091,7.1856,10
28,O010131001030,GRS 1915+105,06/08/2018 11:56,Point,288.7981,10.9458,10
29,O010129801025,Cyg X-3,06/08/2018 16:42,Point,308.1074,40.9577,20
41,O011466101109,MAXI J1820+070,08/08/2018 13:14,Point,275.091,7.1856,15
42,O010131001031,GRS 1915+105,08/08/2018 19:36,Point,288.7981,10.9458,20
43,O010131101018,Cen X-3,09/08/2018 01:57,Point,170.3158,-60.623,15
44,O011466101110,MAXI J1820+070,09/08/2018 11:30,Point,275.091,7.1856,10
45,O010131001032,GRS 1915+105,09/08/2018 16:16,Point,288.7981,10.9458,10
46,O010130601015,GX 17+2,09/08/2018 21:02,Point,274.0057,-14.0363,20
47,O011466101111,MAXI J1820+070,10/08/2018 06:35,Point,275.091,7.1856,10
48,O010131001033,GRS 1915+105,10/08/2018 11:21,Point,288.7981,10.9458,10
49,O010131201006,GX 9+9,10/08/2018 16:07,Point,262.934,-16.9614,25
50,O010121003007,Cir X-1,11/08/2018 01:40,Point,230.1702,-57.1667,15
51,O010131001034,GRS 1915+105,11/08/2018 06:26,Point,288.7981,10.9458,20
52,O011466101112,MAXI J1820+070,11/08/2018 14:23,Point,275.091,7.1856,10
53,O010121003008,Cir X-1,11/08/2018 19:10,Point,230.1702,-57.1667,10
64,O010121003009,Cir X-1,13/08/2018 07:44,Point,230.1702,-57.1667,10
65,O011466101113,MAXI J1820+070,13/08/2018 12:31,Point,275.091,7.1856,10
66,O010131001035,GRS 1915+105,13/08/2018 17:17,Point,288.7981,10.9458,10
67,O010129313004,BLANK_SKY5,13/08/2018 22:03,Point,352.7624,-70.3217,10
68,O010129311006,BLANK_SKY7,14/08/2018 02:50,Point,312.1284,-36.5756,10
69,O010129309002,BLANK_SKY9,14/08/2018 07:36,Point,311.3196,-12.6268,10
70,O010129303009,BLANK_SKY17,14/08/2018 12:22,Point,233.4943,-3.4427,10
71,O010129302007,BLANK_SKY18,14/08/2018 17:09,Point,244.3452,20.0333,10
72,O010121003010,Cir X-1,14/08/2018 21:55,Point,230.1702,-57.1667,10
73,O010130801017,Her X-1,15/08/2018 01:06,Point,254.4575,35.3423,10
74,O011466101114,MAXI J1820+070,15/08/2018 05:52,Point,275.091,7.1856,10
75,O010131001036,GRS 1915+105,15/08/2018 10:38,Point,288.7981,10.9458,10
76,O010121003011,Cir X-1,15/08/2018 15:25,Point,230.1702,-57.1667,10
77,O010130801018,Her X-1,15/08/2018 20:11,Point,254.4575,35.3423,10
78,O010132801010,Sco X-1,16/08/2018 00:57,Point,244.9794,-15.6403,20
79,O010130001029,Cyg X-2,16/08/2018 10:30,Point,326.1715,38.3214,20
80,O010121003012,Cir X-1,16/08/2018 20:03,Point,230.1702,-57.1667,10
81,O010130801019,Her X-1,17/08/2018 00:49,Point,254.4575,35.3423,10
82,O011466101115,MAXI J1820+070,17/08/2018 05:35,Point,275.091,7.1856,10
83,O010131001037,GRS 1915+105,17/08/2018 10:22,Point,288.7981,10.9458,10
84,O010121003013,Cir X-1,17/08/2018 15:08,Point,230.1702,-57.1667,20
85,O010130801020,Her X-1,17/08/2018 19:55,Point,254.4575,35.3423,10
97,O010130801021,Her X-1,19/08/2018 11:41,Point,254.4575,35.3423,10
98,O011466101116,MAXI J1820+070,19/08/2018 16:27,Point,275.091,7.1856,10
99,O010131001038,GRS 1915+105,19/08/2018 21:14,Point,288.7981,10.9458,10
100,O010121003014,Cir X-1,20/08/2018 02:00,Point,230.1702,-57.1667,10
101,O010132601009,Cas A,20/08/2018 06:47,Point,350.85,58.815,100
102,O010121003015,Cir X-1,22/08/2018 06:31,Point,230.1702,-57.1667,10
103,O011466101117,MAXI J1820+070,22/08/2018 11:17,Point,275.091,7.1856,10
104,O010131001039,GRS 1915+105,22/08/2018 16:04,Point,288.7981,10.9458,10
105,O010121003016,Cir X-1,22/08/2018 20:50,Point,230.1702,-57.1667,10
116,O010132601010,Cas A,24/08/2018 07:51,Point,350.85,58.815,100
117,O010131001040,GRS 1915+105,26/08/2018 10:47,Point,288.7981,10.9458,15
118,O011466101118,MAXI J1820+070,26/08/2018 17:09,Point,275.091,7.1856,15
130,O011466101119,MAXI J1820+070,28/08/2018 12:07,Point,275.091,7.1856,10
131,O010131001041,GRS 1915+105,28/08/2018 16:53,Point,288.7981,10.9458,10
132,O010129313005,BLANK_SKY5,28/08/2018 21:40,Point,352.7624,-70.3217,10
133,O010129312005,BLANK_SKY6,29/08/2018 02:26,Point,322.5919,-23.0951,10
134,O010129311007,BLANK_SKY7,29/08/2018 07:13,Point,312.1284,-36.5756,10
135,O010129309003,BLANK_SKY9,29/08/2018 11:59,Point,311.3196,-12.6268,10
136,O010129307002,BLANK_SKY11,29/08/2018 16:45,Point,319.0534,3.8279,10
137,O011466101120,MAXI J1820+070,29/08/2018 21:32,Point,275.091,7.1856,10
138,O010131001042,GRS 1915+105,30/08/2018 02:18,Point,288.7981,10.9458,10
139,O011160501063,Crab,30/08/2018 07:05,Point,83.6331,22.0145,50
140,O010130301006,4U 1728-34,31/08/2018 08:32,Point,262.9905,-33.834,10
141,O010131201007,GX 9+9,31/08/2018 13:18,Point,262.934,-16.9614,15
142,O011466101121,MAXI J1820+070,31/08/2018 22:51,Point,275.091,7.1856,10
,obsID,Name,MNV startTime¥_šUTC¥_Š,obs Mode,J2000_RA,J2000_Dec,Exp(ks)
3,O011476301013,4U 1630-472,01/07/2018 07:02,Point,248.5067,-47.393,10
4,O011476401009,4U 1608-52,01/07/2018 11:48,Point,243.179,-52.423,10
5,O011465401028,4U 1636-536,01/07/2018 16:35,Point,250.231,-53.751,10
6,O011466101079,MAXI J1820+070,01/07/2018 21:21,Point,275.1083,7.0369,10
7,O011476301014,4U 1630-472,02/07/2018 03:43,Point,248.5067,-47.393,10
8,O011476401010,4U 1608-52,02/07/2018 08:29,Point,243.179,-52.423,10
9,O011465401029,4U 1636-536,02/07/2018 13:16,Point,250.231,-53.751,10
16,O011476301015,4U 1630-472,03/07/2018 13:08,Point,248.5067,-47.393,10
17,O011476401011,4U 1608-52,03/07/2018 17:54,Point,243.179,-52.423,10
18,O011465401030,4U 1636-536,03/07/2018 22:41,Point,250.231,-53.751,10
19,O011470901022,H 1417-624,04/07/2018 03:27,Point,215.3033,-62.6983,20
20,O010129801017,Cyg X-3,04/07/2018 13:00,Point,308.1074,40.9577,25
21,O011465401031,4U 1636-536,04/07/2018 22:33,Point,250.231,-53.751,10
22,O011470901023,H 1417-624,05/07/2018 03:19,Point,215.3033,-62.6983,10
23,O011476301017,4U 1630-472,05/07/2018 08:05,Point,248.5067,-47.393,10
24,O011476401013,4U 1608-52,05/07/2018 12:52,Point,243.179,-52.423,10
25,O011465401032,4U 1636-536,05/07/2018 17:38,Point,250.231,-53.751,10
26,O010129801018,Cyg X-3,06/07/2018 01:35,Point,308.1074,40.9577,20
27,O011470901025,H 1417-624,06/07/2018 11:08,Point,215.3033,-62.6983,10
28,O011465401033,4U 1636-536,06/07/2018 15:54,Point,250.231,-53.751,10
29,O011466101084,MAXI J1820+070,06/07/2018 20:41,Point,275.091,7.1856,20
30,O010129801019,Cyg X-3,07/07/2018 06:14,Point,308.1074,40.9577,20
31,O011470901026,H 1417-624,07/07/2018 15:46,Point,215.3033,-62.6983,10
32,O011465401034,4U 1636-536,07/07/2018 20:33,Point,250.231,-53.751,10
33,O011466101085,MAXI J1820+070,08/07/2018 01:19,Point,275.091,7.1856,15
34,O010129801020,Cyg X-3,08/07/2018 09:16,Point,308.1074,40.9577,20
35,O011470901027,H 1417-624,08/07/2018 17:13,Point,215.3033,-62.6983,10
36,O011465401035,4U 1636-536,08/07/2018 22:00,Point,250.231,-53.751,10
37,O011466101086,MAXI J1820+070,09/07/2018 02:46,Point,275.091,7.1856,15
38,O010129801021,Cyg X-3,09/07/2018 10:43,Point,308.1074,40.9577,20
39,O011470901028,H 1417-624,09/07/2018 18:41,Point,215.3033,-62.6983,10
40,O011465401036,4U 1636-536,09/07/2018 23:27,Point,250.231,-53.751,10
41,O011466101087,MAXI J1820+070,10/07/2018 02:38,Point,275.091,7.1856,10
42,O010129801022,Cyg X-3,10/07/2018 09:00,Point,308.1074,40.9577,15
43,O011470901029,H 1417-624,10/07/2018 15:21,Point,215.3033,-62.6983,10
44,O011465401037,4U 1636-536,10/07/2018 20:08,Point,250.231,-53.751,10
45,O011466101088,MAXI J1820+070,11/07/2018 00:54,Point,275.091,7.1856,10
46,O010129801023,Cyg X-3,11/07/2018 07:16,Point,308.1074,40.9577,15
47,O011470901030,H 1417-624,11/07/2018 13:38,Point,215.3033,-62.6983,10
48,O011465401038,4U 1636-536,11/07/2018 18:24,Point,250.231,-53.751,15
49,O010131001011,GRS 1915+105,12/07/2018 00:46,Point,288.7981,10.9458,10
50,O011466101089,MAXI J1820+070,12/07/2018 05:32,Point,275.091,7.1856,10
60,O010131001012,GRS 1915+105,13/07/2018 14:56,Point,288.7981,10.9458,10
61,O011466101090,MAXI J1820+070,13/07/2018 19:43,Point,275.091,7.1856,10
63,O011466101091,MAXI J1820+070,15/07/2018 01:56,Point,275.091,7.1856,20
64,O010133001018,GRS 1915+105,15/07/2018 11:29,Point,288.7981,10.9458,30
74,O010131001013,GRS 1915+105,17/07/2018 06:26,Point,288.7981,10.9458,20
75,O011466101092,MAXI J1820+070,17/07/2018 19:10,Point,275.091,7.1856,20
76,O010131501014,Cyg X-1,18/07/2018 01:32,Point,299.5903,35.2016,20
77,O010131001014,GRS 1915+105,18/07/2018 11:04,Point,288.7981,10.9458,10
78,O011466101093,MAXI J1820+070,18/07/2018 15:51,Point,275.091,7.1856,10
79,O010130601013,GX 17+2,18/07/2018 20:37,Point,274.0057,-14.0363,20
80,O010131001015,GRS 1915+105,19/07/2018 06:10,Point,288.7981,10.9458,10
81,O011466101094,MAXI J1820+070,19/07/2018 10:56,Point,275.091,7.1856,10
82,O010130001027,Cyg X-2,19/07/2018 15:43,Point,326.1715,38.3214,20
92,O010131001016,GRS 1915+105,21/07/2018 07:30,Point,288.7981,10.9458,20
93,O011466101095,MAXI J1820+070,21/07/2018 17:03,Point,275.091,7.1856,20
94,O010131101017,Cen X-3,22/07/2018 02:36,Point,170.3158,-60.623,10
95,O010131001017,GRS 1915+105,22/07/2018 07:23,Point,288.7981,10.9458,20
96,O010129303007,BLANK_SKY17,22/07/2018 16:56,Point,233.4943,-3.4427,30
97,O010129306008,BLANK_SKY13,23/07/2018 05:40,Point,234.3967,-20.1846,30
98,O011466101096,MAXI J1820+070,23/07/2018 18:25,Point,275.091,7.1856,20
99,O010131001018,GRS 1915+105,24/07/2018 02:23,Point,288.7981,10.9458,20
111,O011466101097,MAXI J1820+070,25/07/2018 23:00,Point,275.091,7.1856,20
112,O010131001019,GRS 1915+105,26/07/2018 05:22,Point,288.7981,10.9458,10
113,O010130601014,GX 17+2,26/07/2018 10:09,Point,274.0057,-14.0363,20
114,O010132801009,Sco X-1,26/07/2018 19:43,Point,244.9794,-15.6403,20
115,O011466101098,MAXI J1820+070,27/07/2018 05:17,Point,275.091,7.1856,20
116,O010131001020,GRS 1915+105,27/07/2018 14:50,Point,288.7981,10.9458,10
117,O010130901018,GX 301-2,27/07/2018 19:37,Point,186.6565,-62.7703,30
118,O011466101099,MAXI J1820+070,28/07/2018 02:00,Point,275.091,7.1856,10
119,O010131001021,GRS 1915+105,28/07/2018 06:46,Point,288.7981,10.9458,10
131,O011466101100,MAXI J1820+070,29/07/2018 22:35,Point,275.091,7.1856,25
132,O010131001022,GRS 1915+105,30/07/2018 03:22,Point,288.7981,10.9458,10
133,O010132601008,Cas A,30/07/2018 08:08,Point,350.85,58.815,50
134,O011466101101,MAXI J1820+070,31/07/2018 14:22,Point,275.091,7.1856,10
135,O010131001023,GRS 1915+105,31/07/2018 19:09,Point,288.7981,10.9458,10
,obsID,Name,MNV startTime¥_šUTC¥_Š,obs Mode,J2000_RA,J2000_Dec,Exp(ks)
1,O011466101061,MAXI J1820+070,01/06/2018 17:27,Point,275.1083,7.0369,25
2,O010131201005,GX 9+9,02/06/2018 01:25,Point,262.934,-16.9614,30
3,O011466101062,MAXI J1820+070,02/06/2018 17:22,Point,275.1083,7.0369,20
4,O010131501013,Cyg X-1,03/06/2018 02:57,Point,299.5903,35.2016,30
5,O011466101063,MAXI J1820+070,03/06/2018 17:17,Point,275.1083,7.0369,20
11,O011466101064,MAXI J1820+070,04/06/2018 18:46,Point,275.1083,7.0369,10
18,O011466101065,MAXI J1820+070,05/06/2018 18:38,Point,275.1083,7.0369,10
19,O010129302005,BLANK_SKY18,06/06/2018 01:00,Point,244.3452,20.0333,10
20,O010129303006,BLANK_SKY17,06/06/2018 05:46,Point,233.4943,-3.4427,10
21,O010129306006,BLANK_SKY13,06/06/2018 10:32,Point,234.3967,-20.1846,10
22,O011466101066,MAXI J1820+070,06/06/2018 15:19,Point,275.1083,7.0369,15
23,O011475701001,8hr,06/06/2018 21:40,Point,124,-78.75,8
24,O011475601001,Dusty10,07/06/2018 00:51,Point,153,-80.8333,4
25,O011475501001,Antlia,07/06/2018 02:27,Point,157.5,-35.3333,4
26,O011475401001,Centaurus,07/06/2018 04:02,Point,192.5,-41.3333,4
27,O010130801013,Her X-1,07/06/2018 05:38,Point,254.4575,35.3423,25
28,O011466101067,MAXI J1820+070,07/06/2018 18:21,Point,275.1083,7.0369,8
29,O011475701002,8hr,07/06/2018 21:32,Point,124,-78.75,10
30,O011475601002,Dusty10,08/06/2018 00:43,Point,153,-80.8333,4
31,O011475501002,Antlia,08/06/2018 02:18,Point,157.5,-35.3333,4
32,O011475401002,Centaurus,08/06/2018 03:53,Point,192.5,-41.3333,5
33,O011475801001,MAXI J1727-203,08/06/2018 05:29,Point,262.1247,-20.3823,10
34,O010130801014,Her X-1,08/06/2018 13:26,Point,254.4575,35.3423,20
35,O011475701003,8hr,08/06/2018 22:58,Point,124,-78.75,4
36,O011475601003,Dusty10,09/06/2018 00:34,Point,153,-80.8333,4
37,O011475501003,Antlia,09/06/2018 02:09,Point,157.5,-35.3333,4
38,O011475401003,Centaurus,09/06/2018 03:45,Point,192.5,-41.3333,5
39,O010130801015,Her X-1,09/06/2018 05:20,Point,254.4575,35.3423,35
40,O011475701004,8hr,09/06/2018 22:50,Point,124,-78.75,5
41,O011475601004,Dusty10,10/06/2018 00:25,Point,153,-80.8333,4
42,O011475501004,Antlia,10/06/2018 02:01,Point,157.5,-35.3333,4
43,O011475901001,Dusty11,10/06/2018 03:36,Point,170,-85.3333,4
44,O010130801016,Her X-1,10/06/2018 05:11,Point,254.4575,35.3423,20
45,O011475801002,MAXI J1727-203,10/06/2018 16:19,Point,262.1247,-20.3823,10
46,O011475701005,8hr,10/06/2018 22:41,Point,124,-78.75,8
47,O011475601005,Dusty10,11/06/2018 01:52,Point,153,-80.8333,4
48,O011475501005,Antlia,11/06/2018 03:27,Point,157.5,-35.3333,4
49,O011475901002,Dusty11,11/06/2018 05:03,Point,170,-85.3333,4
50,O011466101068,MAXI J1820+070,11/06/2018 06:38,Point,275.1083,7.0369,15
51,O010129315003,BLANK_SKY3,11/06/2018 14:35,Point,50.3109,-57.196,8
52,O010129311004,BLANK_SKY7,11/06/2018 19:21,Point,312.1284,-36.5756,8
53,O011475701006,8hr,11/06/2018 22:32,Point,124,-78.75,8
54,O011475601006,Dusty10,12/06/2018 01:43,Point,153,-80.8333,4
55,O011475501006,Antlia,12/06/2018 03:18,Point,157.5,-35.3333,4
56,O011475901003,Dusty11,12/06/2018 04:54,Point,170,-85.3333,4
68,O011475801003,MAXI J1727-203,13/06/2018 17:28,Point,262.1247,-20.3823,10
69,O011466101069,MAXI J1820+070,13/06/2018 22:15,Point,275.1083,7.0369,20
70,O011476001001,XTE J1946+274,14/06/2018 07:47,Point,296.414,27.3654,100
71,O010130001024,Cyg X-2,16/06/2018 01:08,Point,326.1715,38.3214,20
72,O011476301001,4U 1630-472,16/06/2018 10:41,Point,248.5067,-47.393,20
73,O010130001026,Cyg X-2,16/06/2018 20:13,Point,326.1715,38.3214,10
74,O011466101070,MAXI J1820+070,16/06/2018 23:24,Point,275.1083,7.0369,15
75,O010131001008,GRS 1915+105,17/06/2018 08:57,Point,288.7981,10.9458,30
76,O010129801016,Cyg X-3,17/06/2018 23:16,Point,308.1074,40.9577,20
77,O011476301002,4U 1630-472,18/06/2018 08:48,Point,248.5067,-47.393,10
78,O010130601012,GX 17+2,18/06/2018 13:34,Point,274.0057,-14.0363,20
84,O011476301003,4U 1630-472,19/06/2018 15:01,Point,248.5067,-47.393,10
85,O011466101073,MAXI J1820+070,19/06/2018 19:48,Point,275.1083,7.0369,15
92,O011476301004,4U 1630-472,20/06/2018 19:39,Point,248.5067,-47.393,10
93,O010129305008,BLANK_SKY14,21/06/2018 00:26,Point,258.4627,57.472,15
94,O010129315005,BLANK_SKY3,21/06/2018 08:23,Point,50.3109,-57.196,15
95,O011466101074,MAXI J1820+070,21/06/2018 16:20,Point,275.1083,7.0369,10
96,O011476301005,4U 1630-472,21/06/2018 21:06,Point,248.5067,-47.393,10
97,O011476401001,4U 1608-52,22/06/2018 01:53,Point,243.1789,-52.4229,15
98,O010129306007,BLANK_SKY13,22/06/2018 08:14,Point,234.3967,-20.1846,20
99,O010129302006,BLANK_SKY18,22/06/2018 16:12,Point,244.3452,20.0333,20
100,O011476301006,4U 1630-472,23/06/2018 00:09,Point,248.5067,-47.393,10
101,O011466101075,MAXI J1820+070,23/06/2018 04:55,Point,275.1083,7.0369,10
102,O011476401002,4U 1608-52,23/06/2018 11:17,Point,243.1789,-52.4229,10
103,O010131001009,GRS 1915+105,23/06/2018 16:03,Point,288.7981,10.9458,10
104,O011476301007,4U 1630-472,23/06/2018 20:50,Point,248.5067,-47.393,20
105,O011476401003,4U 1608-52,24/06/2018 06:22,Point,243.1789,-52.4229,10
106,O011466101076,MAXI J1820+070,24/06/2018 11:09,Point,275.1083,7.0369,10
107,O010132801008,Sco X-1,24/06/2018 15:55,Point,244.9794,-15.6403,50
108,O011476301008,4U 1630-472,25/06/2018 15:47,Point,248.5067,-47.393,10
109,O011476401004,4U 1608-52,25/06/2018 20:33,Point,243.1789,-52.4229,10
110,O011465401023,4U 1636-536,26/06/2018 01:20,Point,250.231,-53.751,10
111,O011476301009,4U 1630-472,26/06/2018 09:17,Point,248.5067,-47.393,10
112,O011476401005,4U 1608-52,26/06/2018 14:04,Point,243.179,-52.423,10
113,O011466101077,MAXI J1820+070,26/06/2018 18:50,Point,275.1083,7.0369,10
114,O010131101016,Cen X-3,27/06/2018 01:12,Point,170.3158,-60.623,10
115,O011465401024,4U 1636-536,27/06/2018 07:34,Point,250.231,-53.751,15
116,O011476301010,4U 1630-472,27/06/2018 15:31,Point,248.5067,-47.393,10
117,O011476401006,4U 1608-52,27/06/2018 20:17,Point,243.179,-52.423,10
118,O011465401025,4U 1636-536,28/06/2018 01:04,Point,250.231,-53.751,6
119,O011466101078,MAXI J1820+070,28/06/2018 05:50,Point,275.1083,7.0369,43
120,O011476301011,4U 1630-472,29/06/2018 02:31,Point,248.5067,-47.393,7
121,O011476401007,4U 1608-52,29/06/2018 07:18,Point,243.179,-52.423,10
122,O011465401026,4U 1636-536,29/06/2018 12:04,Point,250.231,-53.751,20
123,O010131001010,GRS 1915+105,29/06/2018 20:02,Point,288.7981,10.9458,10
124,O011476301012,4U 1630-472,30/06/2018 00:48,Point,248.5067,-47.393,10
125,O011476401008,4U 1608-52,30/06/2018 05:34,Point,243.179,-52.423,10
126,O011465401027,4U 1636-536,30/06/2018 10:21,Point,250.231,-53.751,10
,obsID,Name,MNV startTime¥_šUTC¥_Š,obs Mode,J2000_RA,J2000_Dec,Exp(ks)
1,O011466101034,MAXI J1820+070,01/05/2018 03:55,Point,275.1083,7.0369,17
2,O011470901017,H 1417-624,01/05/2018 13:28,Point,215.3033,-62.6983,10
8,O011466101035,MAXI J1820+070,02/05/2018 10:09,Point,275.1083,7.0369,20
9,O011470901018,H 1417-624,02/05/2018 19:42,Point,215.3033,-62.6983,13
10,O010131101013,Cen X-3,03/05/2018 00:28,Point,170.3158,-60.623,10
11,O011466101036,MAXI J1820+070,03/05/2018 05:15,Point,275.1083,7.0369,20
12,O011470901019,H 1417-624,03/05/2018 17:58,Point,215.3033,-62.6983,10
13,O010131501011,Cyg X-1,03/05/2018 22:45,Point,299.5903,35.2016,10
14,O011466101037,MAXI J1820+070,04/05/2018 03:31,Point,275.1083,7.0369,20
15,O011470901020,H 1417-624,04/05/2018 13:04,Point,215.3033,-62.6983,10
16,O010129801014,Cyg X-3,04/05/2018 17:51,Point,308.1074,40.9577,10
17,O010130801007,Her X-1,05/05/2018 00:13,Point,254.4575,35.3423,25
18,O011466101038,MAXI J1820+070,05/05/2018 09:46,Point,275.1083,7.0369,10
19,O011470901021,H 1417-624,05/05/2018 16:07,Point,215.3033,-62.6983,10
20,O010133001017,GRS 1915+105,05/05/2018 20:54,Point,288.7981,10.9458,25
21,O011466101039,MAXI J1820+070,06/05/2018 11:13,Point,275.1083,7.0369,10
22,O010130801008,Her X-1,06/05/2018 16:00,Point,254.4575,35.3423,25
23,O010130001012,Cyg X-2,07/05/2018 01:33,Point,326.1715,38.3214,20
24,O011466101040,MAXI J1820+070,07/05/2018 11:05,Point,275.1083,7.0369,10
25,O010130801009,Her X-1,07/05/2018 15:52,Point,254.4575,35.3423,25
26,O010130001013,Cyg X-2,08/05/2018 01:25,Point,326.1715,38.3214,20
27,O011466101041,MAXI J1820+070,08/05/2018 10:58,Point,275.1083,7.0369,20
28,O010130801010,Her X-1,08/05/2018 20:30,Point,254.4575,35.3423,25
29,O010130001014,Cyg X-2,09/05/2018 04:28,Point,326.1715,38.3214,20
30,O011466101042,MAXI J1820+070,09/05/2018 14:01,Point,275.1083,7.0369,10
31,O010130801011,Her X-1,09/05/2018 18:47,Point,254.4575,35.3423,20
32,O010130001015,Cyg X-2,10/05/2018 04:20,Point,326.1715,38.3214,20
33,O011466101043,MAXI J1820+070,10/05/2018 13:53,Point,275.1083,7.0369,10
34,O010130801012,Her X-1,10/05/2018 18:39,Point,254.4575,35.3423,20
35,O010131001004,GRS 1915+105,11/05/2018 02:36,Point,288.7981,10.9458,30
36,O010130001016,Cyg X-2,11/05/2018 18:31,Point,326.1715,38.3214,20
37,O011466101044,MAXI J1820+070,12/05/2018 04:04,Point,275.1083,7.0369,20
38,O010130001017,Cyg X-2,12/05/2018 13:36,Point,326.1715,38.3214,20
39,O011466101045,MAXI J1820+070,13/05/2018 00:45,Point,275.1083,7.0369,10
40,O010130001018,Cyg X-2,13/05/2018 05:31,Point,326.1715,38.3214,20
48,O011466101046,MAXI J1820+070,14/05/2018 13:20,Point,275.1083,7.0369,10
49,O010130001020,Cyg X-2,14/05/2018 18:06,Point,326.1715,38.3214,20
50,O011466101047,MAXI J1820+070,15/05/2018 03:39,Point,275.1083,7.0369,10
51,O010130001021,Cyg X-2,15/05/2018 08:25,Point,326.1715,38.3214,20
58,O011466101048,MAXI J1820+070,16/05/2018 13:03,Point,275.1083,7.0369,10
59,O010130001022,Cyg X-2,16/05/2018 17:49,Point,326.1715,38.3214,20
60,O010129303003,BLANK_SKY17,17/05/2018 01:47,Point,233.4943,-3.4427,10
61,O010129305006,BLANK_SKY14,17/05/2018 06:33,Point,258.4627,57.472,10
62,O010129319006,BLANK_SKY19,17/05/2018 11:19,Point,151.749,2.1364,10
63,O011466101049,MAXI J1820+070,17/05/2018 16:06,Point,275.1083,7.0369,20
64,O010129312002,BLANK_SKY6,18/05/2018 01:38,Point,322.5919,-23.0951,10
65,O010129311002,BLANK_SKY7,18/05/2018 06:25,Point,312.1284,-36.5756,15
66,O010129302002,BLANK_SKY18,18/05/2018 11:11,Point,244.3452,20.0333,10
67,O011466101050,MAXI J1820+070,18/05/2018 15:57,Point,275.1083,7.0369,20
68,O010131101014,Cen X-3,19/05/2018 01:30,Point,170.3158,-60.623,20
69,O011466101051,MAXI J1820+070,19/05/2018 11:03,Point,275.1083,7.0369,20
70,O010130601009,GX 17+2,19/05/2018 20:35,Point,274.0057,-14.0363,20
71,O010130901016,GX 301-2,20/05/2018 06:08,Point,186.6565,-62.7703,20
72,O011466101052,MAXI J1820+070,20/05/2018 15:41,Point,275.1083,7.0369,40
73,O010130901017,GX 301-2,21/05/2018 18:43,Point,186.6565,-62.7703,15
74,O011466101053,MAXI J1820+070,22/05/2018 04:16,Point,275.1083,7.0369,20
75,O010131001005,GRS 1915+105,22/05/2018 13:49,Point,288.7981,10.9458,20
76,O011466101054,MAXI J1820+070,23/05/2018 00:57,Point,275.1083,7.0369,20
90,O011466101055,MAXI J1820+070,25/05/2018 03:52,Point,275.1083,7.0369,20
