,obsID,Name,MNV startTime¥_šUTC¥_Š,obs Mode,J2000_RA,J2000_Dec,Exp(ks)
91,O010131501012,Cyg X-1,25/05/2018 13:25,Point,299.5903,35.2016,20
92,O010129801015,Cyg X-3,25/05/2018 21:22,Point,308.1074,40.9577,20
93,O010131301001,GX 13+1,26/05/2018 05:19,Point,273.6314,-17.1574,30
94,O010130601010,GX 17+2,26/05/2018 16:28,Point,274.0057,-14.0363,20
95,O010132801006,Sco X-1,27/05/2018 00:25,Point,244.9794,-15.6403,10
96,O010131001006,GRS 1915+105,27/05/2018 05:12,Point,288.7981,10.9458,20
97,O010129302003,BLANK_SKY18,27/05/2018 14:45,Point,244.3452,20.0333,10
98,O011466101056,MAXI J1820+070,27/05/2018 19:32,Point,275.1083,7.0369,10
99,O010129303004,BLANK_SKY17,28/05/2018 00:18,Point,233.4943,-3.4427,10
100,O010129319007,BLANK_SKY19,28/05/2018 05:05,Point,151.749,2.1364,10
101,O010129313002,BLANK_SKY5,28/05/2018 09:51,Point,352.7624,-70.3217,10
102,O010129311003,BLANK_SKY7,28/05/2018 14:38,Point,312.1284,-36.5756,10
103,O011466101057,MAXI J1820+070,28/05/2018 19:25,Point,275.1083,7.0369,10
109,O011466101058,MAXI J1820+070,29/05/2018 16:07,Point,275.1083,7.0369,15
116,O011466101059,MAXI J1820+070,30/05/2018 17:37,Point,275.1083,7.0369,25
119,O010130001023,Cyg X-2,31/05/2018 06:22,Point,326.1714,38.3214,20
120,O011466101060,MAXI J1820+070,31/05/2018 17:32,Point,275.1083,7.0369,15
121,O010131001007,GRS 1915+105,31/05/2018 23:54,Point,288.7981,10.9458,40
,obsID,Name,MNV startTime¥_šUTC¥_Š,obs Mode,J2000_RA,J2000_Dec,Exp(ks)
1,O011160501061,Crab,01/04/2018 01:27,Point,83.6331,22.0145,10
2,O011465401018,4U 1636-536,01/04/2018 06:14,Point,250.231,-53.751,15
3,O010131201003,GX 9+9,01/04/2018 11:00,Point,262.934,-16.9614,10
4,O010131501009,Cyg X-1,01/04/2018 15:46,Point,299.5903,35.2016,10
5,O011466101011,MAXI J1820+070,01/04/2018 20:33,Point,275.1083,7.0369,40
6,O010133001003,GRS 1915+105,02/04/2018 15:39,Point,288.7981,10.9458,15
7,O010132801004,Sco X-1,03/04/2018 00:00,Point,244.9794,-15.6403,10
8,O011465401021,4U 1636-536,03/04/2018 04:23,Point,250.231,-53.751,17
9,O011468701001,NGC 6624,03/04/2018 09:09,Point,275.9188,-30.361,30
10,O011466101012,MAXI J1820+070,03/04/2018 23:29,Point,275.1083,7.0369,30
15,O011469201001,Swift J1756.9-2508,05/04/2018 02:33,Point,269.2389,-25.1077,40
16,O011466101013,MAXI J1820+070,05/04/2018 20:04,Point,275.1083,7.0369,30
17,O010133001004,GRS 1915+105,06/04/2018 05:37,Point,288.7981,10.9458,30
18,O011466101014,MAXI J1820+070,06/04/2018 15:11,Point,275.1083,7.0369,30
19,O010133001005,GRS 1915+105,07/04/2018 05:31,Point,288.7981,10.9458,20
27,O011466101015,MAXI J1820+070,08/04/2018 13:22,Point,275.1083,7.0369,20
28,O010133001006,GRS 1915+105,08/04/2018 22:55,Point,288.7981,10.9458,20
29,O011466101016,MAXI J1820+070,09/04/2018 10:04,Point,275.1083,7.0369,20
30,O010130901015,GX 301-2,09/04/2018 19:37,Point,186.6565,-62.7703,30
31,O010133001007,GRS 1915+105,10/04/2018 05:10,Point,288.7981,10.9458,15
32,O011466101017,MAXI J1820+070,10/04/2018 14:43,Point,275.1083,7.0369,25
33,O010129801012,Cyg X-3,11/04/2018 01:52,Point,308.1074,40.9577,10
34,O010133001008,GRS 1915+105,11/04/2018 06:38,Point,288.7981,10.9458,15
35,O010130601007,GX 17+2,11/04/2018 16:11,Point,274.0057,-14.0363,10
36,O011466101018,MAXI J1820+070,11/04/2018 20:58,Point,275.1083,7.0369,20
37,O010133001009,GRS 1915+105,12/04/2018 06:30,Point,288.7981,10.9458,15
38,O011466101019,MAXI J1820+070,12/04/2018 16:03,Point,275.1083,7.0369,20
39,O010133001010,GRS 1915+105,13/04/2018 03:12,Point,288.7981,10.9458,20
40,O011470901002,H 1417-624,13/04/2018 09:34,Point,215.3033,-62.6983,10
45,O011470901001,H 1417-624,14/04/2018 04:39,Point,215.3033,-62.6983,10
46,O011466101020,MAXI J1820+070,14/04/2018 11:01,Point,275.1083,7.0369,20
47,O010133001011,GRS 1915+105,14/04/2018 20:34,Point,288.7981,10.9458,20
48,O011466101021,MAXI J1820+070,15/04/2018 01:20,Point,275.1083,7.0369,20
49,O011470901003,H 1417-624,15/04/2018 10:53,Point,215.3033,-62.6983,10
50,O010133001012,GRS 1915+105,15/04/2018 15:39,Point,288.7981,10.9458,20
51,O011470901004,H 1417-624,16/04/2018 01:12,Point,215.3033,-62.6983,10
52,O011466101022,MAXI J1820+070,16/04/2018 05:58,Point,275.1083,7.0369,20
53,O010133001013,GRS 1915+105,16/04/2018 15:31,Point,288.7981,10.9458,20
54,O011470901005,H 1417-624,17/04/2018 01:04,Point,215.3033,-62.6983,10
55,O011466101023,MAXI J1820+070,17/04/2018 05:50,Point,275.1083,7.0369,15
56,O010131201004,GX 9+9,17/04/2018 15:23,Point,262.934,-16.9614,20
57,O011470901006,H 1417-624,18/04/2018 00:55,Point,215.3033,-62.6983,10
58,O010131101012,Cen X-3,18/04/2018 05:42,Point,170.3158,-60.623,20
59,O011466101024,MAXI J1820+070,18/04/2018 15:14,Point,275.1083,7.0369,20
60,O011472101001,IGR J16328-4726,19/04/2018 00:47,Point,248.1577,-47.3948,10
61,O010133001014,GRS 1915+105,19/04/2018 05:33,Point,288.7981,10.9458,10
62,O011470901007,H 1417-624,19/04/2018 10:20,Point,215.3033,-62.6983,10
63,O011466101025,MAXI J1820+070,19/04/2018 15:06,Point,275.1083,7.0369,20
64,O011472101002,IGR J16328-4726,20/04/2018 00:39,Point,248.1577,-47.3948,10
65,O011470901008,H 1417-624,20/04/2018 05:25,Point,215.3033,-62.6983,10
66,O010131501010,Cyg X-1,20/04/2018 10:11,Point,299.5903,35.2016,10
67,O011466101026,MAXI J1820+070,20/04/2018 14:58,Point,275.1083,7.0369,20
68,O011470901009,H 1417-624,21/04/2018 00:30,Point,215.3033,-62.6983,10
73,O011466101030,MAXI J1820+070,21/04/2018 18:00,Point,275.1083,7.0369,20
74,O011470901010,H 1417-624,21/04/2018 22:46,Point,215.3033,-62.6983,10
80,O011466101031,MAXI J1820+070,22/04/2018 19:27,Point,275.1083,7.0369,20
81,O011470901011,H 1417-624,23/04/2018 05:00,Point,215.3033,-62.6983,10
82,O010129801013,Cyg X-3,23/04/2018 09:46,Point,308.1074,40.9577,10
83,O010132801005,Sco X-1,23/04/2018 14:32,Point,244.9794,-15.6403,10
84,O011466101027,MAXI J1820+070,23/04/2018 19:19,Point,275.1083,7.0369,20
85,O011470901012,H 1417-624,24/04/2018 06:27,Point,215.3033,-62.6983,10
86,O010130301005,4U 1728-34,24/04/2018 11:13,Point,262.9905,-33.834,20
87,O010130601008,GX 17+2,24/04/2018 20:46,Point,274.0057,-14.0363,10
88,O010129320006,BLANK_SKY20,25/04/2018 00:00,Point,145.0792,23.0907,10
89,O010129311001,BLANK_SKY7,25/04/2018 04:43,Point,312.1284,-36.5756,10
90,O011470901013,H 1417-624,25/04/2018 09:29,Point,215.3033,-62.6983,10
91,O011466101028,MAXI J1820+070,25/04/2018 14:16,Point,275.1083,7.0369,20
92,O010133001015,GRS 1915+105,25/04/2018 23:48,Point,288.7981,10.9458,70
93,O011466101029,MAXI J1820+070,27/04/2018 09:13,Point,275.1083,7.0369,20
94,O011470901014,H 1417-624,27/04/2018 18:46,Point,215.3033,-62.6983,10
95,O010129309001,BLANK_SKY9,27/04/2018 23:32,Point,311.3196,-12.6268,10
96,O010129313001,BLANK_SKY5,28/04/2018 04:19,Point,352.7624,-70.3217,10
97,O010129305005,BLANK_SKY14,28/04/2018 09:05,Point,258.4627,57.472,10
98,O011466101032,MAXI J1820+070,28/04/2018 13:51,Point,275.1083,7.0369,20
99,O011470901015,H 1417-624,28/04/2018 23:24,Point,215.3033,-62.6983,10
106,O011466101033,MAXI J1820+070,29/04/2018 23:16,Point,275.1083,7.0369,15
107,O011470901015,H 1417-624,30/04/2018 08:49,Point,215.3033,-62.6983,10
108,O010133001016,GRS 1915+105,30/04/2018 13:35,Point,288.7981,10.9458,30
,obsID,Name,MNV startTime¥_šUTC¥_Š,obs Mode,J2000_RA,J2000_Dec,Exp(ks)
1,O011465801009,Swift J1658.2-4242,01/03/2018 00:44,Point,254.55,-42.7,15
2,O011465401010,4U 1636-536,01/03/2018 10:16,Point,250.231,-53.751,8
3,O010130301004,4U 1728-34,01/03/2018 15:03,Point,262.9905,-33.834,20
4,O011465801010,Swift J1658.2-4242,02/03/2018 00:36,Point,254.55,-42.7,15
5,O010130901010,GX 301-2,02/03/2018 10:09,Point,186.6565,-62.7703,20
6,O010121003002,Cir X-1,02/03/2018 19:41,Point,230.1702,-57.1667,10
7,O011465801011,Swift J1658.2-4242,03/03/2018 00:28,Point,254.55,-42.7,15
8,O010132801003,Sco X-1,03/03/2018 10:01,Point,244.9794,-15.6403,20
9,O011160501047,Crab,03/03/2018 19:34,Point,83.6331,22.0145,15
10,O010121003003,Cir X-1,04/03/2018 00:20,Point,230.1702,-57.1667,10
11,O011465801012,Swift J1658.2-4242,04/03/2018 05:07,Point,254.55,-42.7,10
12,O011465401012,4U 1636-536,04/03/2018 09:53,Point,250.231,-53.751,10
13,O010130901011,GX 301-2,04/03/2018 14:40,Point,186.6565,-62.7703,10
14,O010131101010,Cen X-3,04/03/2018 19:26,Point,170.3158,-60.623,10
15,O010121003004,Cir X-1,05/03/2018 00:13,Point,230.1702,-57.1667,10
16,O011465801013,Swift J1658.2-4242,05/03/2018 04:59,Point,254.55,-42.7,10
17,O010130901012,GX 301-2,05/03/2018 09:46,Point,186.6565,-62.7703,10
18,O010130601005,GX 17+2,05/03/2018 14:32,Point,274.0057,-14.0363,30
19,O010121003005,Cir X-1,06/03/2018 00:05,Point,230.1702,-57.1667,10
20,O011465801014,Swift J1658.2-4242,06/03/2018 04:52,Point,254.55,-42.7,10
21,O011465401013,4U 1636-536,06/03/2018 09:39,Point,250.231,-53.751,10
22,O010130901013,GX 301-2,06/03/2018 14:25,Point,186.6565,-62.7703,10
25,O010121003006,Cir X-1,07/03/2018 01:34,Point,230.1702,-57.1667,10
26,O011465801015,Swift J1658.2-4242,07/03/2018 06:20,Point,254.55,-42.7,10
27,O010130901014,GX 301-2,07/03/2018 11:07,Point,186.6565,-62.7703,10
31,O011465801016,Swift J1658.2-4242,08/03/2018 01:27,Point,254.55,-42.7,8
32,O010131201002,GX 9+9,08/03/2018 06:13,Point,262.934,-16.9614,30
33,O011465401014,4U 1636-536,08/03/2018 22:09,Point,250.231,-53.751,8
34,O011465801017,Swift J1658.2-4242,09/03/2018 02:55,Point,254.55,-42.7,8
39,O011160501053,Crab,09/03/2018 20:26,Point,83.6331,22.0145,10
40,O011465801018,Swift J1658.2-4242,10/03/2018 01:13,Point,254.55,-42.7,10
41,O011465401015,4U 1636-536,10/03/2018 06:00,Point,250.231,-53.751,10
42,O010129306004,BLANK_SKY13,10/03/2018 10:46,Point,234.3967,-20.1846,10
43,O010129303001,BLANK_SKY17,10/03/2018 15:33,Point,233.4942,-3.4427,10
44,O010129321007,BLANK_SKY15,10/03/2018 20:19,Point,142.4784,5.7199,10
45,O011465801019,Swift J1658.2-4242,11/03/2018 01:06,Point,254.55,-42.7,30
46,O010129305003,BLANK_SKY14,11/03/2018 20:12,Point,258.4627,57.472,10
47,O010129301009,BLANK_SKY21,12/03/2018 00:59,Point,193.2758,68.4275,10
48,O011465401016,4U 1636-536,12/03/2018 05:45,Point,250.231,-53.751,10
49,O010131701001,2A 1822-371,12/03/2018 10:32,Point,276.445,-37.1052,30
50,O011465801020,Swift J1658.2-4242,12/03/2018 21:40,Point,254.55,-42.7,10
51,O011160501054,Crab,13/03/2018 02:27,Point,83.6331,22.0145,80
52,O011466101001,MAXIJ1820+070,14/03/2018 19:50,Point,275.1083,7.0369,30
53,O011465801021,Swift J1658.2-4242,15/03/2018 10:09,Point,254.55,-42.7,30
54,O011465401017,4U 1636-536,16/03/2018 03:39,Point,250.231,-53.751,10
55,O011466101002,MAXI J1820+070,16/03/2018 10:01,Point,275.1083,7.0369,100
56,O011465801022,Swift J1658.2-4242,18/03/2018 14:31,Point,254.55,-42.7,10
57,O010129303002,BLANK_SKY17,18/03/2018 19:17,Point,233.4943,-3.4427,10
58,O010129302001,BLANK_SKY18,19/03/2018 00:04,Point,244.3452,20.0333,10
59,O010129305004,BLANK_SKY14,19/03/2018 04:50,Point,258.4627,57.472,10
60,O010129318009,BLANK_SKY12,19/03/2018 09:36,Point,129.9525,4.7236,10
61,O010129320005,BLANK_SKY20,19/03/2018 14:23,Point,145.0792,23.0907,10
62,O011466801001,Aql X-1,19/03/2018 19:09,Point,287.8169,0.58494,10
63,O011466101005,MAXI J1820+070,20/03/2018 00:00,Point,275.1083,7.0369,30
64,O011160501055,Crab,20/03/2018 14:14,Point,83.6331,22.0145,10
65,O011466801002,Aql X-1,20/03/2018 19:01,Point,287.8169,0.58494,10
66,O011465801025,Swift J1658.2-4242,20/03/2018 23:47,Point,254.55,-42.7,100
67,O011160501056,Crab,22/03/2018 01:14,Point,83.6331,22.0145,10
68,O011466801003,Aql X-1,22/03/2018 06:00,Point,287.8169,0.58494,10
69,O011466101003,MAXI J1820+070,22/03/2018 10:46,Point,275.1083,7.0369,100
70,O011160501057,Crab,24/03/2018 02:32,Point,83.6331,22.0145,10
71,O011466101004,MAXI J1820+070,24/03/2018 07:19,Point,275.1083,7.0369,100
72,O011160501058,Crab,26/03/2018 11:48,Point,83.6331,22.0145,10
78,O011466101006,MAXI J1820+070,27/03/2018 08:29,Point,275.1083,7.0369,10
85,O011466101007,MAXI J1820+070,28/03/2018 09:56,Point,275.1083,7.0369,10
86,O011160501059,Crab,28/03/2018 14:43,Point,83.6331,22.0145,10
87,O011465401019,4U 1636-536,28/03/2018 19:29,Point,250.231,-53.751,15
88,O010133001002,GRS 1915+105,29/03/2018 00:15,Point,288.7981,10.9458,40
89,O011466101008,MAXI J1820+070,29/03/2018 20:56,Point,275.1083,7.0369,10
90,O010131101011,Cen X-3,30/03/2018 01:43,Point,170.3158,-60.623,10
91,O011160501060,Crab,30/03/2018 06:29,Point,83.6331,22.0145,10
92,O011465401020,4U 1636-536,30/03/2018 11:16,Point,250.231,-53.751,10
93,O011466101009,MAXI J1820+070,30/03/2018 16:02,Point,275.1083,7.0369,10
94,O010130601006,GX 17+2,30/03/2018 20:48,Point,274.0057,-14.0363,50
95,O011466101010,MAXI J1820+070,31/03/2018 20:41,Point,275.1083,7.0369,10
,obsID,Name,MNV startTime¥_šUTC¥_Š,obs Mode,J2000_RA,J2000_Dec,Exp(ks)
1,O011457701092,Swift_J0243.6+6124,02/02/2018 01:07,Point,40.918,61.4341,15
2,O011160501045,Crab,02/02/2018 05:53,Point,83.6331,22.0145,10
3,O011452001005,GRO J1008-57,02/02/2018 10:40,Point,152.4333,-58.295,10
4,O011453501010,MAXI J1535-571,02/02/2018 15:26,Point,233.832,-57.23,10
14,O011457701093,Swift_J0243.6+6124,04/02/2018 02:26,Point,40.918,61.4341,10
15,O010131101008,Cen X-3,04/02/2018 07:13,Point,170.3158,-60.623,100
16,O011457701094,Swift_J0243.6+6124,06/02/2018 00:35,Point,40.918,61.4341,15
17,O011453501011,MAXI J1535-571,06/02/2018 05:22,Point,233.832,-57.23,10
18,O010132801002,Sco X-1,06/02/2018 10:08,Point,244.9794,-15.6403,80
19,O010129306002,BLANK_SKY13,08/02/2018 00:20,Point,234.3967,-20.1846,10
20,O010129304002,BLANK_SKY16,08/02/2018 05:06,Point,176.7384,-20.6881,15
21,O011457701095,Swift_J0243.6+6124,08/02/2018 09:52,Point,40.918,61.4341,10
22,O011160501046,Crab,08/02/2018 14:39,Point,83.6331,22.0145,10
23,O011453501012,MAXI J1535-571,08/02/2018 19:25,Point,233.832,-57.23,10
24,O011452001006,GRO J1008-57,09/02/2018 00:12,Point,152.4333,-58.295,20
25,O010129317004,BLANK_SKY1,09/02/2018 04:58,Point,49.5352,-7.315,10
26,O010129310005,BLANK_SKY8,09/02/2018 09:45,Point,50.1817,17.5512,10
27,O010129318008,BLANK_SKY12,09/02/2018 14:31,Point,129.9525,4.7236,10
28,O010132401002,B1509-58,09/02/2018 19:18,Point,228.4813,-59.1358,15
29,O011457701097,Swift_J0243.6+6124,10/02/2018 00:04,Point,40.918,61.4341,15
30,O011452001007,GRO J1008-57,10/02/2018 06:26,Point,152.4333,-58.295,20
40,O011453501013,MAXI J1535-571,11/02/2018 17:27,Point,233.832,-57.23,15
41,O011465401002,4U 1636-536,11/02/2018 23:49,Point,250.231,-53.751,15
42,O011457701098,Swift_J0243.6+6124,12/02/2018 04:36,Point,40.918,61.4341,10
43,O011465501001,Cosmos Field,12/02/2018 09:22,Point,150.1191,2.2058,20
44,O011453501014,MAXI J1535-571,12/02/2018 17:20,Point,233.832,-57.23,10
45,O011452001008,GRO J1008-57,12/02/2018 22:06,Point,152.4333,-58.295,10
46,O011160501048,Crab,13/02/2018 02:52,Point,83.6331,22.0145,10
47,O011465501002,Cosmos Field,13/02/2018 09:14,Point,150.1191,2.2058,20
48,O011465401003,4U 1636-536,13/02/2018 17:12,Point,250.231,-53.751,10
49,O010130901009,GX 301-2,13/02/2018 21:58,Point,186.6565,-62.7703,30
50,O011465501003,Cosmos Field,14/02/2018 09:07,Point,150.1192,2.2058,20
51,O011457701099,Swift_J0243.6+6124,14/02/2018 17:04,Point,40.918,61.4341,10
52,O011453501015,MAXI J1535-571,14/02/2018 21:51,Point,233.832,-57.23,10
53,O011452001009,GRO J1008-57,15/02/2018 02:37,Point,152.4333,-58.295,15
54,O011465501004,Cosmos Field,15/02/2018 08:59,Point,150.1192,2.2058,15
55,O011465401004,4U 1636-536,15/02/2018 16:56,Point,250.231,-53.751,10
56,O010131101009,Cen X-3,15/02/2018 21:43,Point,170.3158,-60.623,55
57,O011457701100,Swift_J0243.6+6124,16/02/2018 10:26,Point,40.918,61.4341,10
58,O011453501016,MAXI J1535-571,16/02/2018 15:13,Point,233.832,-57.23,10
59,O011452001010,GRO J1008-57,16/02/2018 19:59,Point,152.4333,-58.295,10
60,O011465401005,4U 1636-536,17/02/2018 00:46,Point,250.231,-53.751,10
61,O011160501049,Crab,17/02/2018 05:32,Point,83.6331,22.0145,10
62,O010132601007,Cas A,17/02/2018 10:19,Point,350.85,58.815,50
63,O011457701101,Swift_J0243.6+6124,18/02/2018 02:13,Point,40.918,61.4341,10
64,O011453501017,MAXI J1535-571,18/02/2018 07:00,Point,233.832,-57.23,10
65,O011452001011,GRO J1008-57,18/02/2018 11:46,Point,152.4333,-58.295,10
66,O011465401006,4U 1636-536,18/02/2018 16:32,Point,250.231,-53.751,10
76,O011465801001,Swift J1658.2-4242,20/02/2018 01:57,Point,254.55,-42.7,50
77,O011457701102,Swift_J0243.6+6124,21/02/2018 01:49,Point,40.918,61.4341,10
78,O011160501050,Crab,21/02/2018 06:35,Point,83.6331,22.0145,10
79,O011452001012,GRO J1008-57,21/02/2018 11:21,Point,152.4333,-58.295,10
80,O011453501018,MAXI J1535-571,21/02/2018 16:08,Point,233.832,-57.23,10
81,O011465401007,4U 1636-536,21/02/2018 20:54,Point,250.231,-53.751,10
82,O011465801002,Swift J1658.2-4242,22/02/2018 01:41,Point,254.55,-42.7,20
83,O010129320004,BLANK_SKY20,22/02/2018 11:13,Point,145.0791,23.0906,10
84,O010129304003,BLANK_SKY16,22/02/2018 16:00,Point,176.7384,-20.6881,10
85,O010129306003,BLANK_SKY13,22/02/2018 20:46,Point,234.3967,-20.1846,10
86,O011465801003,Swift J1658.2-4242,23/02/2018 01:32,Point,254.55,-42.7,20
87,O010129301008,BLANK_SKY21,23/02/2018 11:05,Point,193.2757,68.4275,10
88,O010129315002,BLANK_SKY3,23/02/2018 15:51,Point,50.3109,-57.196,10
89,O011465401008,4U 1636-536,23/02/2018 20:38,Point,250.231,-53.751,10
90,O011465801004,Swift J1658.2-4242,24/02/2018 01:24,Point,254.55,-42.7,20
96,O011465801005,Swift J1658.2-4242,25/02/2018 02:51,Point,254.55,-42.7,20
101,O011465801006,Swift J1658.2-4242,26/02/2018 01:08,Point,254.55,-42.7,15
102,O010130801006,Her X-1,26/02/2018 10:40,Point,254.4575,35.3423,30
103,O011465401009,4U 1636-536,26/02/2018 20:13,Point,250.231,-53.751,10
104,O011465801007,Swift J1658.2-4242,27/02/2018 01:00,Point,254.55,-42.7,15
105,O011160501051,Crab,27/02/2018 10:32,Point,83.6331,22.0145,10
106,O010131201001,GX 9+9,27/02/2018 15:19,Point,262.934,-16.9614,20
107,O011465801008,Swift J1658.2-4242,28/02/2018 00:52,Point,254.55,-42.7,15
108,O010130401001,GRO J1750-27,28/02/2018 10:24,Point,267.2908,-26.6369,15
109,O011453501020,MAXI J1535-571,28/02/2018 19:57,Point,233.832,-57.23,10
,obsID,Name,MNVstartTime¥_šUTC¥_Š,obsMode,J2000_RA,J2000_Dec,Exp(ks)
5,O011457701075,Swift_J0243.6+6124,01/01/2018 13:08,Point,40.918,61.4341,10
6,O011463801017,1ES 1959+650,01/01/2018 17:54,Point,299.9992,65.1486,10
7,O011160501036,Crab,01/01/2018 22:41,Point,83.6331,22.0145,10
12,O011457701076,Swift_J0243.6+6124,02/01/2018 16:11,Point,40.918,61.4341,10
13,O011463801018,1ES 1959+650,02/01/2018 20:57,Point,299.9992,65.1486,10
14,O010130901005,GX 301-2,03/01/2018 01:44,Point,186.6565,-62.7703,25
15,O011457701077,Swift_J0243.6+6124,03/01/2018 14:27,Point,40.918,61.4341,10
16,O011463801019,1ES 1959+650,03/01/2018 19:14,Point,299.9992,65.1486,10
17,O011160501037,Crab,04/01/2018 00:00,Point,83.6331,22.0145,10
18,O010130901006,GX 301-2,04/01/2018 04:47,Point,186.6565,-62.7703,25
19,O011457701078,Swift_J0243.6+6124,04/01/2018 17:30,Point,40.918,61.4341,10
20,O011463801020,1ES 1959+650,04/01/2018 22:17,Point,299.9992,65.1486,10
21,O010131101004,Cen X-3,05/01/2018 03:03,Point,170.3158,-60.623,25
22,O011463801021,1ES 1959+650,05/01/2018 17:23,Point,299.9992,65.1486,10
23,O011457701079,Swift_J0243.6+6124,05/01/2018 22:09,Point,40.918,61.4341,10
24,O010131101005,Cen X-3,06/01/2018 02:56,Point,170.3158,-60.623,20
25,O011160501038,Crab,06/01/2018 15:40,Point,83.6331,22.0145,10
26,O011463801022,1ES 1959+650,06/01/2018 20:26,Point,299.9992,65.1486,10
32,O011457701080,Swift_J0243.6+6124,07/01/2018 17:08,Point,40.918,61.4341,10
33,O011463801023,1ES 1959+650,07/01/2018 21:54,Point,299.9992,65.1486,10
39,O011463801024,1ES 1959+650,08/01/2018 18:36,Point,299.9992,65.1486,15
40,O010129310002,BLANK_SKY8,09/01/2018 00:59,Point,50.1817,17.5512,10
41,O010129317003,BLANK_SKY1,09/01/2018 05:45,Point,49.5352,-7.315,10
42,O011160501039,Crab,09/01/2018 10:32,Point,83.6331,22.0145,15
43,O011457701081,Swift_J0243.6+6124,09/01/2018 16:54,Point,40.918,61.4341,15
44,O011463801025,1ES 1959+650,09/01/2018 23:17,Point,299.9992,65.1486,15
45,O010129318005,BLANK_SKY12,10/01/2018 05:39,Point,129.9525,4.7236,10
46,O010129321005,BLANK_SKY15,10/01/2018 10:26,Point,142.4784,5.7199,10
47,O010129301006,BLANK_SKY21,10/01/2018 15:13,Point,193.2758,68.4275,10
48,O010131101006,Cen X-3,10/01/2018 20:00,Point,170.3158,-60.623,20
49,O011157901007,Crab_offset,11/01/2018 00:47,Point,82.188,22.6265,10
50,O011457701082,Swift_J0243.6+6124,11/01/2018 05:33,Point,40.918,61.4341,10
51,O010132701007,M87,11/01/2018 10:20,Point,187.7042,12.3911,40
52,O011463801026,1ES 1959+650,12/01/2018 08:40,Point,299.9992,65.1486,10
53,O010132701008,M87,12/01/2018 13:27,Point,187.7042,12.3911,30
54,O011457701083,Swift_J0243.6+6124,13/01/2018 02:12,Point,40.918,61.4341,10
55,O010122301002,Perseus,13/01/2018 06:59,Point,49.9467,41.5131,100
56,O011457701084,Swift_J0243.6+6124,15/01/2018 06:49,Point,40.918,61.4341,10
61,O011160501040,Crab,16/01/2018 01:55,Point,83.6331,22.0145,10
67,O011457701085,Swift_J0243.6+6124,17/01/2018 00:12,Point,40.918,61.4341,10
68,O010129304001,BLANK_SKY16,17/01/2018 04:58,Point,176.7384,-20.6881,10
69,O010129319005,BLANK_SKY19,17/01/2018 09:45,Point,151.749,2.1364,10
70,O010129321006,BLANK_SKY15,17/01/2018 14:31,Point,142.4784,5.7199,10
71,O010129318006,BLANK_SKY12,17/01/2018 19:17,Point,129.9525,4.7236,10
72,O010129310003,BLANK_SKY8,18/01/2018 00:04,Point,50.1817,17.5512,10
73,O010130201003,Cas A,18/01/2018 04:50,Point,350.85,58.815,40
74,O011457701086,Swift_J0243.6+6124,19/01/2018 01:31,Point,40.918,61.4341,10
75,O011160501041,Crab,19/01/2018 06:17,Point,83.6331,22.0145,15
76,O010130901007,GX 301-2,19/01/2018 11:03,Point,186.6565,-62.7703,70
77,O010130801004,Her X-1,20/01/2018 22:03,Point,254.4575,35.3423,40
78,O011457701087,Swift_J0243.6+6124,21/01/2018 18:43,Point,40.918,61.4341,10
79,O011160501042,Crab,21/01/2018 23:30,Point,83.6331,22.0145,10
80,O010130801005,Her X-1,22/01/2018 04:16,Point,254.4575,35.3423,100
81,O010131101007,Cen X-3,24/01/2018 02:23,Point,170.3158,-60.623,50
82,O011457701089,Swift_J0243.6+6124,25/01/2018 00:39,Point,40.918,61.4341,10
87,O011160501043,Crab,25/01/2018 18:09,Point,83.6331,22.0145,10
96,O011457701088,Swift_J0243.6+6124,27/01/2018 00:22,Point,40.918,61.4341,10
103,O010129306001,BLANK_SKY13,28/01/2018 00:14,Point,234.3967,-20.1846,10
104,O010129318007,BLANK_SKY12,28/01/2018 05:00,Point,129.9525,4.7236,10
105,O010129305002,BLANK_SKY14,28/01/2018 09:46,Point,258.4627,57.472,10
