RA,Dec
07h12m35.00s,-27d40m00.0s
18h55m19.5s,-30d32m43.0s
08h51m30.00s,+63d07m48.0s
05h23m34.53s,-69d45m22.1s
14h00m06s,+14d30m00s
00h52m44.78s,-72d49m43.0s
15h09m08.49s,+67d13m21.4s
17h20m12.39s,+57d54m55.3s
07h38m07.95s,+38d52m47.9s
10h13m02.96s,-01d36m52.6s
01h00m09.3s,-33d42m33s
10h34m52.80s,+51d55m12.0s
06h41m36.69s,-50d57m58.3s
02h39m59.3s,-34d26m57s
11h13m28.80s,+22d09m06.0s
10h08m28.10s,+12d18m23.0s
09h34m53.40s,+17d03m05.0s
01h51m06.3s,-44d26m41s
19h44m57.74s,-14d48m12.4s
00h38m57.97s,+48d20m14.6s
01h16m29.78s,+33d25m08.8s
00h20m17.34s,+59d18m13.6s
00h33m12.12s,+48d30m31.5s
09h59m26.46s,+30d44m47.0s
01h04m47.79s,+02d07m04.0s
00h45m39.80s,+38d02m28.0s
00h35m33.78s,+36d29m51.9s
00h26m11.03s,-11d02m39.6s
00h42m41.83s,+40d51m55.0s
23h26m31.74s,+50d40m32.6s
00h52m53.00s,+43d11m45.0s
01h03m55.00s,+21d53m06.0s
01h10m17.10s,+47d37m41.0s
23h51m46.30s,+24d34m57.0s
00h42m06.00s,+40d37m00.0s
00h42m44.35s,+41d16m08.6s
01h33m50.89s,+30d39m36.8s
00h40m22.08s,+41d41m07.1s
23h54m47.70s,+42d28m15.0s
01h27m40.00s,+28d05m25.0s
22h41m49.60s,-64d25m10.0s
01h06m33.70s,+44d48m15.8s
23h28m36.2s,+14d44m35s
00h19m32.10s,+35d02m37.1s
00h01m58.16s,-15d27m39.3s
19h29m59s,-17d40m41s
20h46m51.8s,-12d50m53s
09h16m02.21s,+52d50m24.3s
10h04m04.10s,-27d19m51.6s
10h11m00.80s,-04d41m34.0s
10h03m06.88s,-26d09m34.5s
00h02m14.50s,+45d05m20.0s
10h00m00.10s,+05d19m56.0s
10h15m59.40s,+06d48m21.4s
12h13m23.57s,+29d55m18.8s
07h00m29.30s,-04d12m30.0s
16h13m47.95s,+54d22m16.2s
00h15m31.56s,-32d10m47.8s
00h26m33.37s,-41d51m19.1s
22h02m41.51s,-51d17m47.2s
12h58m40.44s,+14d13m03.0s
14h07m10.52s,+35d03m37.3s
00h54m53.48s,-37d41m03.8s
00h14m53.60s,-39d11m47.9s
23h26m27.52s,-32d23m19.5s
14h15m56.52s,+23d03m19.0s
12h18m46.06s,-79d43m33.8s
17h47m08.87s,-64d38m30.3s
23h45m34.02s,+38d43m03.7s
13h30m44.40s,+54d54m36.0s
13h54m33.55s,+04d14m34.8s
11h50m53.00s,+38d52m49.0s
12h27m40.90s,+43d29m44.0s
14h24m43.40s,+44d31m32.8s
02h56m51.94s,+58d54m41.9s
02h41m55.02s,+59d36m15.4s
12h14m57.92s,+36d13m07.8s
12h15m39.17s,+36d19m36.8s
03h59m48.30s,+67d08m18.6s
12h12m09.16s,+36d10m09.1s
02h54m08.47s,+59d00m19.1s
02h24m34.20s,+56d00m43.0s
02h27m26.90s,+57d29m16.3s
02h55m42.69s,+58d51m37.4s
02h35m36.47s,+59d22m43.5s
02h36m35.46s,+59d39m17.7s
04h32m04.90s,+63d36m49.0s
13h39m53.82s,+40d44m20.7s
04h30m49.06s,+64d50m52.6s
15h14m13.84s,-46d48m28.6s
12h38m40.06s,+32d46m00.5s
11h36m06.18s,+45d17m01.1s
03h45m12.58s,+67d51m50.5s
12h47m26.00s,-77d34m17.0s
07h28m54.66s,+69d12m56.8s
07h34m11.50s,+66d52m47.0s
12h13m49.62s,-38d13m52.9s
13h54m48.67s,+35d50m14.7s
08h37m03.00s,+69d46m31.0s
01h09m27.02s,+35d43m05.3s
05h14m15.33s,+62d34m48.0s
03h46m48.50s,+68d05m46.9s
02h06m02.80s,+68d59m59.0s
07h36m51.40s,+65d36m09.2s
04h53m07.10s,+67d05m57.0s
00h49m49.20s,-21d00m54.0s
06h47m45.80s,+80d07m26.0s
08h19m04.98s,+70d43m12.1s
13h21m57.61s,-36d37m48.9s
13h37m39.05s,-42d50m49.1s
13h45m00.50s,-41d51m40.0s
00h49m20.96s,-18d04m31.5s
09h45m10.00s,+68d45m54.0s
00h50m24.32s,-19d54m24.2s
04h32m49.09s,+71d52m59.2s
13h49m17.50s,-36d03m48.4s
13h33m43.98s,-48d09m04.2s
13h03m33.6s,-46d35m06s
09h50m10.53s,+67d30m24.3s
10h05m06.40s,+66d33m32.0s
09h55m52.73s,+69d40m45.8s
13h13m09.16s,-44d53m23.8s
08h23m55.10s,+71d01m56.0s
09h47m15.46s,+67d54m59.0s
08h34m07.20s,+66d10m54.0s
13h05m27.48s,-49d28m05.6s