,Name,obs Mode,J2000_RA,J2000_Dec
15,1RXS J1708-4009,Point,257.195,-40.127
71,4U 1608-52,Point,243.1792,-52.4231
47,4U 1608-52,Point,243.1792,-52.4231
39,4U 1608-52,Point,243.1792,-52.4231
21,4U 1608-52,Point,243.1792,-52.4231
51,4U 1608-52,Point,243.1792,-52.4231
54,4U 1608-52,Point,243.1792,-52.4231
17,4U 1608-52,Point,243.1792,-52.4231
36,4U 1608-52,Point,243.1792,-52.4231
58,4U 1608-52,Point,243.1792,-52.4231
42,4U 1608-52,Point,243.1792,-52.4231
13,4U 1608-52,Point,243.1792,-52.4231
10,4U 1608-52,Point,243.1792,-52.4231
62,4U 1608-52,Point,243.1792,-52.4231
7,4U 1608-52,Point,243.1792,-52.4231
31,4U 1608-52,Point,243.1792,-52.4231
4,4U 1608-52,Point,243.1792,-52.4231
65,4U 1608-52,Point,243.1792,-52.4231
1,4U 1608-52,Point,243.1792,-52.4231
60,4U 1608-52,Point,243.1792,-52.4231
26,4U 1608-52,Point,243.1792,-52.4231
12,4U 1636-53,Point,250.2312,-53.7513
37,4U 1636-53,Point,250.2312,-53.7514
63,4U 1636-53,Point,250.2312,-53.7514
3,Cen X-3,Point,170.3129,-60.6238
38,GRO J1008-57,Point,152.4421,-58.2919
41,GRO J1008-57,Point,152.4421,-58.2919
57,GRO J1008-57,Point,152.4421,-58.2919
50,GRO J1008-57,Point,152.4421,-58.2919
53,GRO J1008-57,Point,152.4421,-58.2919
61,GRO J1008-57,Point,152.4421,-58.2919
64,GRO J1008-57,Point,152.4421,-58.2919
46,GRO J1008-57,Point,152.4421,-58.2919
70,GRO J1008-57,Point,152.4421,-58.2919
35,GRO J1008-57,Point,152.4421,-58.2919
2,GRO J1008-57,Point,152.4421,-58.2919
30,GRO J1008-57,Point,152.4421,-58.2919
5,GRO J1008-57,Point,152.4421,-58.2919
8,GRO J1008-57,Point,152.4421,-58.2919
25,GRO J1008-57,Point,152.4421,-58.2919
20,GRO J1008-57,Point,152.4421,-58.2919
11,GRO J1008-57,Point,152.4421,-58.2919
16,GRO J1008-57,Point,152.4421,-58.2919
6,GX 301-2,Point,186.6565,-62.7704
9,GX 301-2,Point,186.6565,-62.7704
40,Sco X-1,Point,244.9795,-15.6403
52,Sco X-1,Point,244.9795,-15.6403
59,Vela X-1,Point,135.5286,-40.5547
18,blank_sky3,Point,50.3109,-57.196
19,blank_sky4,Point,327.119,-42.4725
22,blanksky11,Point,319.0534,3.8279
23,blanksky16,Point,176.7384,-20.6881
24,blanksky21,Point,193.2758,68.4275
,Name,obs Mode,J2000_RA,J2000_Dec
1,SGR 1935+2154,Point,293.732,21.8967
98,SGR 1935+2154,Point,293.732,21.8967
134,SGR 1935+2154,Point,293.73,21.9
267,SGR 1935+2154,Point,293.7319,21.8967
329,SGR 1935+2154,Point,293.7319,21.8967
359,SGR 1935+2154,Point,293.7319,21.8967
391,SGR 1935+2154,Point,293.7319,21.8967
421,SGR 1935+2154,Point,293.7319,21.8967
453,SGR 1935+2154,Point,293.7319,21.8967
485,SGR 1935+2154,Point,293.7319,21.8967
,Name,obs Mode,J2000_RA,J2000_Dec
27,4U 1630-472,Point,248.5067,-47.393
51,4U 1630-472,Point,248.5067,-47.393
100,4U 1630-472,Point,248.5067,-47.393
112,4U 1630-472,Point,248.5067,-47.393
61,4U 1630-472,Point,248.5067,-47.393
65,4U 1630-472,Point,248.5067,-47.393
41,4U 1630-472,Point,248.5067,-47.393
38,4U 1630-472,Point,248.5067,-47.393
34,4U 1630-472,Point,248.5067,-47.393
69,4U 1630-472,Point,248.5067,-47.393
82,4U 1630-472,Point,248.5067,-47.393
24,4U 1630-472,Point,248.5067,-47.393
22,4U 1630-472,Point,248.5067,-47.393
18,4U 1630-472,Point,248.5067,-47.393
16,4U 1630-472,Point,248.5067,-47.393
55,4U 1630-472,Point,248.5067,-47.393
95,4U 1630-472,Point,248.5067,-47.393
1,4U 1630-472,Point,248.5067,-47.393
12,4U 1630-472,Point,248.5067,-47.393
86,4U 1630-472,Point,248.5067,-47.393
17,Cen X-3,Point,170.3129,-60.6238
101,Cir X-1,Point,230.1702,-57.1667
36,Cir X-1,Point,230.1702,-57.1667
87,Cir X-1,Point,230.1702,-57.1667
66,Cir X-1,Point,230.1702,-57.1667
70,Cir X-1,Point,230.1702,-57.1667
96,Cir X-1,Point,230.1702,-57.1667
62,Cir X-1,Point,230.1702,-57.1667
39,Cir X-1,Point,230.1702,-57.1667
25,Cir X-1,Point,230.1702,-57.1667
83,Cir X-1,Point,230.1702,-57.1667
2,Cir X-1,Point,230.1702,-57.1667
52,Cir X-1,Point,230.1702,-57.1667
19,Cir X-1,Point,230.1702,-57.1667
13,Cir X-1,Point,230.1702,-57.1667
63,Cyg X-1,Point,299.5903,35.2016
102,Cyg X-1,Point,299.5903,35.2016
67,Cyg X-1,Point,299.5903,35.2016
40,Cyg X-1,Point,299.5903,35.2016
97,Cyg X-1,Point,299.5903,35.2016
14,Cyg X-1,Point,299.5903,35.2016
37,Cyg X-1,Point,299.5903,35.2016
71,Cyg X-1,Point,299.5903,35.2016
84,Cyg X-1,Point,299.5903,35.2016
54,Cyg X-1,Point,299.5903,35.2016
26,Cyg X-1,Point,299.5903,35.2016
20,Cyg X-1,Point,299.5903,35.2016
88,Cyg X-1,Point,299.5903,35.2016
68,GRS 1915+105,Point,288.7981,10.9458
53,GRS 1915+105,Point,288.7981,10.9458
21,GX 17+2,Point,274.0058,-14.0363
35,GX 3+1,Point,266.9833,-26.5636
23,GX 301-2,Point,186.6565,-62.7704
72,GX 340+0,Point,251.4487,-45.6111
15,H 1730-333,Point,263.3525,-33.3888
64,M87,Point,187.7059,12.3911
108,SGR 1935+2154,Point,293.732,21.8967
113,SGR 1935+2154,Point,293.732,21.8967
99,SGR 1935+2154,Point,293.7319,21.8967
98,Sco X-1,Point,244.9795,-15.6403
85,Vela X-1,Point,135.5286,-40.5547
56,blank_sky3,Point,50.3109,-57.196
109,blank_sky4,Point,327.119,-42.4725
110,blanksky14,Point,258.4627,57.472
57,blanksky15,Point,142.4784,5.7199
58,blanksky16,Point,176.7384,-20.6881
59,blanksky20,Point,145.0792,23.0907
111,blanksky20,Point,145.0792,23.0907
60,blanksky21,Point,193.2758,68.4275
,Name,obs Mode,J2000_RA,J2000_Dec
119,4U 1630-472,Point,248.5067,-47.393
114,4U 1630-472,Point,248.5067,-47.393
108,4U 1630-472,Point,248.5067,-47.393
101,4U 1630-472,Point,248.5067,-47.393
83,4U 1630-472,Point,248.5067,-47.393
97,4U 1630-472,Point,248.5067,-47.393
86,4U 1630-472,Point,248.5067,-47.393
88,4U 1630-472,Point,248.5067,-47.393
93,4U 1630-472,Point,248.5067,-47.393
35,Cen X-3,Point,170.3129,-60.6238
73,Cir X-1,Point,230.1702,-57.1667
81,Cir X-1,Point,230.1702,-57.1667
85,Cir X-1,Point,230.1702,-57.1667
89,Cir X-1,Point,230.1702,-57.1667
92,Cir X-1,Point,230.1702,-57.1667
96,Cir X-1,Point,230.1702,-57.1667
100,Cir X-1,Point,230.1702,-57.1667
113,Cir X-1,Point,230.1702,-57.1667
95,Crab,Point,83.6331,22.0145
120,Crab,Point,83.6331,22.0145
118,Cyg X-1,Point,299.5903,35.2016
47,GX 17+2,Point,274.0058,-14.0363
82,GX 301-2,Point,186.6565,-62.7704
26,GX 349+2,Point,256.4354,-36.4231
90,H 1730-333,Point,263.3525,-33.3888
94,H 1730-333,Point,263.3525,-33.3888
99,H 1730-333,Point,263.3525,-33.3888
84,H 1730-333,Point,263.3525,-33.3888
115,H 1730-333,Point,263.3525,-33.3888
67,H 1730-333,Point,263.3525,-33.3888
60,H 1730-333,Point,263.3525,-33.3888
61,Sco X-1,Point,244.9795,-15.6403
111,Swift J1818.0-1607,Point,274.5009,-16.1312
107,Swift J1818.0-1607,Point,274.5009,-16.1312
91,Vela X-1,Point,135.5286,-40.5547
1,blank_sky2,Point,57.3952,-24.3781
2,blank_sky3,Point,50.3109,-57.196
62,blank_sky3,Point,50.3109,-57.196
3,blanksky12,Point,129.9525,4.7236
109,blanksky14,Point,258.4627,57.472
63,blanksky15,Point,142.4784,5.7199
110,blanksky15,Point,142.4784,5.7199
4,blanksky16,Point,176.7384,-20.6881
64,blanksky16,Point,176.7384,-20.6881
5,blanksky19,Point,151.749,2.1364
112,blanksky19,Point,151.749,2.1364
65,blanksky19,Point,151.749,2.1364
66,blanksky20,Point,145.0792,23.0907
,Name,obs Mode,J2000_RA,J2000_Dec
27,Cas A,Point,350.85,58.815
17,Cen X-3,Point,170.3129,-60.6238
28,Crab,Point,83.6331,22.0145
18,FRB 180916.J0158+65,Point,29.5,65.7333
20,GRB 200205A,Point,130.2291,-35.4127
29,GX 301-2,Point,186.6565,-62.7704
39,Her X-1,Point,254.4575,35.3424
38,Her X-1,Point,254.4575,35.3424
31,Sco X-1,Point,244.9795,-15.6403
19,Vela X-1,Point,135.5286,-40.5547
22,blank_sky1,Point,49.5352,-7.315
23,blank_sky3,Point,50.3109,-57.196
25,blanksky15,Point,142.4784,5.7199
26,blanksky16,Point,176.7384,-20.6881
24,blanksky8,Point,50.1817,17.5512
,Name,obs Mode,J2000_RA,J2000_Dec
7,1A 0535+262,Point,84.7274,26.3158
14,1A 0535+262,Point,84.7274,26.3158
12,1A 0535+262,Point,84.7274,26.3158
36,Cas A,Point,350.85,58.815
15,Cen X-3,Point,170.3129,-60.6238
46,Cen X-3,Point,170.3129,-60.6238
86,Crab,Point,83.6331,22.0145
35,GX 301-2,Point,186.6565,-62.7704
96,GX 301-2,Point,186.6565,-62.7704
38,GX 301-2,Point,186.6565,-62.7704
59,GX 301-2,Point,186.6565,-62.7704
68,Vela X-1,Point,135.5286,-40.5547
17,Vela X-1,Point,135.5286,-40.5547
13,Vela X-1,Point,135.5286,-40.5547
18,blank_sky1,Point,49.5352,-7.315
82,blanksky12,Point,129.9525,4.7236
20,blanksky12,Point,129.9525,4.7236
83,blanksky14,Point,258.4627,57.472
84,blanksky15,Point,142.4784,5.7199
21,blanksky15,Point,142.4784,5.7199
85,blanksky21,Point,193.2758,68.4275
22,blanksky21,Point,193.2758,68.4275
19,blanksky8,Point,50.1817,17.5512
81,blanksky8,Point,50.1817,17.5512
,Name,obs Mode,J2000_RA,J2000_Dec
114,1A 0535+262,Point,84.7274,26.3158
67,1A 0535+262,Point,84.7274,26.3158
71,1A 0535+262,Point,84.7274,26.3158
65,1A 0535+262,Point,84.7274,26.3158
73,1A 0535+262,Point,84.7274,26.3158
80,1A 0535+262,Point,84.7274,26.3158
89,1A 0535+262,Point,84.7274,26.3158
82,1A 0535+262,Point,84.7274,26.3158
92,1A 0535+262,Point,84.7274,26.3158
98,1A 0535+262,Point,84.7274,26.3158
100,1A 0535+262,Point,84.7274,26.3158
102,1A 0535+262,Point,84.7274,26.3158
9,CDFS,Point,52.5,-28.1
20,CDFS,Point,52.5,-28.1
31,CDFS,Point,52.5,-28.1
12,CDFS,Point,52.5,-28.1
23,CDFS,Point,52.5,-28.1
34,CDFS,Point,52.5,-28.1
62,Cas A,Point,350.85,58.815
99,Crab,Point,83.6331,22.0145
21,Crab,Point,83.6331,22.0145
44,Cyg X-1,Point,299.5903,35.2016
41,Cyg X-1,Point,299.5903,35.2016
68,Cyg X-3,Point,308.1074,40.9577
42,Cyg X-3,Point,308.1074,40.9577
72,Cyg X-3,Point,308.1074,40.9577
81,Cyg X-3,Point,308.1074,40.9577
53,Cyg X-3,Point,308.1074,40.9577
45,Cyg X-3,Point,308.1074,40.9577
90,Cyg X-3,Point,308.1074,40.9577
70,Cyg X-3,Point,308.1074,40.9577
19,DECam,Point,335.2,-8.8
30,DECam,Point,335.2,-8.8
11,DECam,Point,335.2,-8.8
8,DECam,Point,335.2,-8.8
33,DECam,Point,335.2,-8.8
22,DECam,Point,335.2,-8.8
10,PSR J2022+3842,Point,305.5904,38.7041
57,RX J0209.6-7427,Point,308.1074,40.9577
63,RX J0209.6-7427,Point,32.3939,-74.4533
54,RX J0209.6-7427,Point,308.1074,40.9577
51,RX J0209.6-7427,Point,308.1074,40.9577
61,RX J0209.6-7427,Point,308.1074,40.9577
64,Vela X-1,Point,135.5286,-40.5547
66,Vela X-1,Point,135.5286,-40.5547
96,blank_sky3,Point,50.3109,-57.196
56,blanksky10,Point,345.6353,27.1995
97,blanksky10,Point,345.6353,27.1995
95,blanksky12,Point,129.9525,4.7236
94,blanksky19,Point,151.749,2.1364
58,blanksky19,Point,151.749,2.1364
32,blanksky20,Point,145.0792,23.0907
59,blanksky20,Point,145.0792,23.0907
93,blanksky21,Point,193.2758,68.4275
60,blanksky21,Point,193.2758,68.4275
55,blanksky8,Point,50.1817,17.5512
,Name,obs Mode,J2000_RA,J2000_Dec
48,Cas A,Point,350.85,58.815
83,Crab,Point,83.6331,22.0145
51,MAXI J0637-430,Point,99.0968,-42.8678
27,MAXI J0637-430,Point,99.0968,-42.8678
37,MAXI J0637-430,Point,99.0968,-42.8678
43,MAXI J0637-430,Point,99.0968,-42.8678
46,MAXI J0637-430,Point,99.0968,-42.8678
12,MAXI J0637-430,Point,99.0968,-42.8678
49,MAXI J0637-430,Point,99.0968,-42.8678
56,MAXI J0637-430,Point,99.0968,-42.8678
62,MAXI J0637-430,Point,99.0968,-42.8678
8,MAXI J0637-430,Point,99.0968,-42.8678
64,MAXI J0637-430,Point,99.0968,-42.8678
66,MAXI J0637-430,Point,99.0968,-42.8678
72,MAXI J0637-430,Point,99.0968,-42.8678
82,MAXI J0637-430,Point,99.0968,-42.8678
84,MAXI J0637-430,Point,99.0968,-42.8678
93,MAXI J0637-430,Point,99.0968,-42.8678
18,MAXI J0637-430,Point,99.0968,-42.8678
21,MAXI J0637-430,Point,99.0968,-42.8678
73,PSR J2022+3842,Point,305.5904,38.7041
9,PSR J2022+3842,Point,305.5904,38.7041
29,PSR J2022+3842,Point,305.5904,38.7041
19,SGR 1935+2154,Point,293.732,21.8967
22,SGR 1935+2154,Point,293.732,21.8967
10,SGR 1935+2154,Point,293.732,21.8967
13,SGR 1935+2154,Point,293.732,21.8967
28,SGR 1935+2154,Point,293.7319,21.8967
7,Vela X-1,Point,135.5285,-40.5546
63,Vela X-1,Point,135.5286,-40.5547
2,blank_sky2,Point,57.3952,-24.3781
3,blank_sky3,Point,50.3109,-57.196
38,blank_sky4,Point,327.119,-42.4725
4,blank_sky4,Point,327.119,-42.4725
39,blanksky10,Point,345.6353,27.1995
40,blanksky11,Point,319.0534,3.8279
47,blanksky11,Point,319.0534,3.8279
41,blanksky14,Point,258.4627,57.472
96,blanksky19,Point,151.749,2.1364
97,blanksky20,Point,145.0792,23.0907
42,blanksky21,Point,193.2758,68.4275
6,blanksky21,Point,193.2758,68.4275
98,blanksky21,Point,193.2758,68.4275
94,blanksky6,Point,322.5919,-23.0951
5,blanksky8,Point,50.1817,17.5512
95,blanksky8,Point,50.1817,17.5512
,Name,obs Mode,J2000_RA,J2000_Dec
54,Cas A,Point,350.85,58.815
94,Crab,Point,83.6331,22.0145
29,EXO 1846-031,Point,282.3205,-3.0654
86,EXO 1846-031,Point,282.3205,-3.0654
39,EXO 1846-031,Point,282.3205,-3.0654
91,EXO 1846-031,Point,282.3205,-3.0654
58,EXO 1846-031,Point,282.3205,-3.0654
11,EXO 1846-031,Point,282.3205,-3.0654
55,EXO 1846-031,Point,282.3205,-3.0654
22,EXO 1846-031,Point,282.3205,-3.0654
53,EXO 1846-031,Point,282.3205,-3.0654
51,EXO 1846-031,Point,282.3205,-3.0654
1,EXO 1846-031,Point,282.3205,-3.0654
74,EXO 1846-031,Point,282.3205,-3.0654
82,EXO 1846-031,Point,282.3205,-3.0654
107,GRS 1915+105,Point,288.7981,10.9458
52,GRS 1915+105,Point,288.7981,10.9458
23,GX 17+2,Point,274.0058,-14.0363
90,IGR J19294+1816,Point,292.4829,18.3106
93,IGR J19294+1816,Point,292.4829,18.3106
95,IGR J19294+1816,Point,292.4829,18.3106
106,IGR J19294+1816,Point,292.4829,18.3106
109,IGR J19294+1816,Point,292.4829,18.3106
85,IGR J19294+1816,Point,292.4829,18.3106
3,PSR J2022+3842,Point,305.5904,38.7041
57,SWIFT J1845.7-0037,Point,281.478,-0.65953
67,SWIFT J1845.7-0037,Point,281.478,-0.65953
83,SWIFT J1845.7-0037,Point,281.478,-0.65953
87,SWIFT J1845.7-0037,Point,281.478,-0.65953
75,SWIFT J1845.7-0037,Point,281.478,-0.65953
73,SWIFT J1845.7-0037,Point,281.478,-0.65953
92,SWIFT J1845.7-0037,Point,281.478,-0.65953
40,Ser X-1,Point,279.9898,5.0359
12,XTE J1739-285,Point,264.9748,-28.4963
68,blank_sky2,Point,57.3952,-24.3781
24,blank_sky4,Point,327.119,-42.4725
25,blanksky10,Point,345.6353,27.1995
72,blanksky11,Point,319.0534,3.8279
26,blanksky11,Point,319.0534,3.8279
27,blanksky14,Point,258.4627,57.472
28,blanksky21,Point,193.2758,68.4275
69,blanksky5,Point,352.7624,-70.3217
70,blanksky6,Point,322.5919,-23.0951
71,blanksky8,Point,50.1817,17.5512
,Name,obs Mode,J2000_RA,J2000_Dec
52,4U 1636-536,Point,250.2312,-53.7513
40,4U 1636-536,Point,250.2312,-53.7513
33,4U 1636-536,Point,250.2312,-53.7514
67,4U 1636-536,Point,250.2312,-53.7514
27,4U 1636-536,Point,250.2312,-53.7514
56,Aql X-1,Point,287.8171,0.58494
37,Aql X-1,Point,287.8171,0.58494
26,Aql X-1,Point,287.8171,0.58494
87,Aql X-1,Point,287.8171,0.58494
44,Aql X-1,Point,287.8171,0.58494
21,Aql X-1,Point,287.8171,0.58494
91,Aql X-1,Point,287.8171,0.58494
14,Aql X-1,Point,287.8171,0.58494
69,Aql X-1,Point,287.8171,0.58494
100,Aql X-1,Point,287.8171,0.58494
2,Aql X-1,Point,287.8171,0.58494
64,Cas A,Point,350.85,58.815
3,Cir X-1,Point,230.1702,-57.1667
43,Cir X-1,Point,230.1702,-57.1667
13,Cir X-1,Point,230.1702,-57.1667
81,Cir X-1,Point,230.1702,-57.1667
89,Cir X-1,Point,230.1702,-57.1667
55,Cir X-1,Point,230.1702,-57.1667
68,Cir X-1,Point,230.1702,-57.1667
36,Cir X-1,Point,230.1702,-57.1667
25,Cir X-1,Point,230.1702,-57.1667
129,Crab,Point,83.6331,22.0145
12,EXO 1846-031,Point,282.3205,-3.0654
54,EXO 1846-031,Point,282.3205,-3.0654
42,EXO 1846-031,Point,282.3205,-3.0654
35,EXO 1846-031,Point,282.3205,-3.0654
132,EXO 1846-031,Point,282.3205,-3.0654
80,EXO 1846-031,Point,282.3205,-3.0654
24,EXO 1846-031,Point,282.3205,-3.0654
127,EXO 1846-031,Point,282.3205,-3.0654
117,EXO 1846-031,Point,282.3205,-3.0654
110,EXO 1846-031,Point,282.3205,-3.0654
88,EXO 1846-031,Point,282.3205,-3.0654
99,EXO 1846-031,Point,282.3205,-3.0654
65,EXO 1846-031,Point,282.3205,-3.0654
22,GRS 1915+105,Point,288.7981,10.9458
131,GX 17+2,Point,274.0058,-14.0363
128,GX 17+2,Point,274.0058,-14.0363
90,GX 17+2,Point,274.0057,-14.0362
15,GX 17+2,Point,274.0058,-14.0363
1,GX 349+2,Point,256.4354,-36.4231
34,Sco X-1,Point,244.9795,-15.6403
66,Sco X-1,Point,244.9795,-15.6403
23,Sco X-1,Point,244.9795,-15.6403
45,Sco X-1,Point,244.9795,-15.6403
57,Sco X-1,Point,244.9795,-15.6403
38,Sco X-1,Point,244.9795,-15.6403
53,Sco X-1,Point,244.9795,-15.6403
41,Sco X-1,Point,244.9795,-15.6403
82,blank_sky2,Point,57.3952,-24.3781
85,blanksky10,Point,345.6353,27.1995
30,blanksky10,Point,345.6353,27.1995
86,blanksky11,Point,319.0534,3.8279
31,blanksky14,Point,258.4627,57.472
83,blanksky5,Point,352.7624,-70.3217
32,blanksky5,Point,352.7624,-70.3217
28,blanksky6,Point,322.5919,-23.0951
84,blanksky6,Point,322.5919,-23.0951
29,blanksky8,Point,50.1817,17.5512
,Name,obs Mode,J2000_RA,J2000_Dec
112,Aql X-1,Point,287.8171,0.58494
61,Aql X-1,Point,287.8171,0.58494
68,Aql X-1,Point,287.8171,0.58494
75,Aql X-1,Point,287.8171,0.58494
54,Aql X-1,Point,287.8171,0.58494
51,Aql X-1,Point,287.8171,0.58494
49,Aql X-1,Point,287.8171,0.58494
79,Aql X-1,Point,287.8171,0.58494
85,Aql X-1,Point,287.8171,0.58494
89,Aql X-1,Point,287.8171,0.58494
96,Aql X-1,Point,287.8171,0.58494
93,Aql X-1,Point,287.8171,0.58494
65,Aql X-1,Point,287.8171,0.58494
100,Aql X-1,Point,287.8171,0.58494
103,Aql X-1,Point,287.8171,0.58494
50,Cas A,Point,350.85,58.815
64,Cen X-3,Point,170.3129,-60.6238
97,Cen X-3,Point,170.3129,-60.6238
25,Cen X-3,Point,170.3129,-60.6238
94,Cir X-1,Point,230.1702,-57.1667
39,Cir X-1,Point,230.1702,-57.1667
29,Cir X-1,Point,230.1702,-57.1667
78,Cir X-1,Point,230.1702,-57.1667
46,Cir X-1,Point,230.1702,-57.1667
23,Cir X-1,Point,230.1702,-57.1667
99,Cir X-1,Point,230.1702,-57.1667
53,Cir X-1,Point,230.1702,-57.1667
104,Cir X-1,Point,230.1702,-57.1667
67,Cir X-1,Point,230.1702,-57.1667
63,Cir X-1,Point,230.1702,-57.1667
87,Cir X-1,Point,230.1702,-57.1667
102,Crab,Point,83.6331,22.0145
8,Cyg X-1,Point,299.5903,35.2016
2,Cyg X-1,Point,299.5903,35.2016
48,Cyg X-1,Point,299.5903,35.2016
38,Cyg X-1,Point,299.5903,35.2016
28,Cyg X-1,Point,299.5903,35.2016
14,Cyg X-1,Point,299.5903,35.2016
22,Cyg X-1,Point,299.5903,35.2016
21,Cyg X-3,Point,308.1074,40.9577
37,Cyg X-3,Point,308.1074,40.9577
13,Cyg X-3,Point,308.1074,40.9577
1,Cyg X-3,Point,308.1074,40.9577
7,Cyg X-3,Point,308.1074,40.9577
27,Cyg X-3,Point,308.1074,40.9577
47,Cyg X-3,Point,308.1074,40.9577
62,EXO 1846-031,Point,282.3205,-3.0654
66,EXO 1846-031,Point,282.3205,-3.0654
98,EXO 1846-031,Point,282.3205,-3.0654
16,EXO 1846-031,Point,282.3205,-3.0654
77,EXO 1846-031,Point,282.3205,-3.0654
20,EXO 1846-031,Point,282.3205,-3.0654
36,EXO 1846-031,Point,282.3205,-3.0654
5,EXO 1846-031,Point,282.3205,-3.0654
86,EXO 1846-031,Point,282.3205,-3.0654
24,EXO 1846-031,Point,282.3205,-3.0654
26,EXO 1846-031,Point,282.3205,-3.0654
45,EXO 1846-031,Point,282.3205,-3.0654
30,EXO 1846-031,Point,282.3205,-3.0654
101,EXO 1846-031,Point,282.3205,-3.0654
52,EXO 1846-031,Point,282.3205,-3.0654
12,EXO 1846-031,Point,282.3205,-3.0654
44,GX 301-2,Point,186.6565,-62.7704
95,GX 349+2,Point,256.4354,-36.4231
76,GX 349+2,Point,256.4354,-36.4231
40,GX 349+2,Point,256.4353,-36.423
15,PKS 1502+106,Point,226.1042,10.4941
4,PKS 1502+106,Point,226.1042,10.4941
6,PKS 1502+106,Point,226.1042,10.4941
11,PKS 1502+106,Point,226.1042,10.4941
84,blank_sky10,Point,345.6353,27.1995
31,blank_sky2,Point,57.3952,-24.3781
81,blank_sky2,Point,57.3952,-24.3781
32,blank_sky3,Point,50.3109,-57.196
83,blank_sky3,Point,50.3109,-57.196
80,blank_sky4,Point,327.119,-42.4725
82,blank_sky8,Point,50.1817,17.5512
35,blanksky10,Point,345.6353,27.1995
33,blanksky6,Point,322.5919,-23.0951
34,blanksky8,Point,50.1817,17.5512
,Name,obs Mode,J2000_RA,J2000_Dec
54,Cas A,Point,350.8499,58.815
13,Cen X-3,Point,170.3129,-60.6238
74,Cyg X-1,Point,299.5903,35.2016
50,Cyg X-1,Point,299.5903,35.2016
82,Cyg X-1,Point,299.5903,35.2016
60,Cyg X-1,Point,299.5903,35.2016
86,Cyg X-1,Point,299.5903,35.2016
56,Cyg X-1,Point,299.5903,35.2016
97,Cyg X-1,Point,299.5903,35.2016
71,Cyg X-1,Point,299.5903,35.2016
105,Cyg X-1,Point,299.5903,35.2016
116,Cyg X-1,Point,299.5903,35.2016
53,Cyg X-1,Point,299.5903,35.2016
61,Cyg X-2,Point,326.1715,38.3214
75,Cyg X-2,Point,326.1715,38.3214
83,Cyg X-2,Point,326.1715,38.3214
57,Cyg X-2,Point,326.1715,38.3214
72,Cyg X-2,Point,326.1715,38.3214
87,Cyg X-2,Point,326.1715,38.3214
95,Cyg X-3,Point,308.1074,40.9577
85,Cyg X-3,Point,308.1074,40.9577
102,Cyg X-3,Point,308.1074,40.9577
113,Cyg X-3,Point,308.1074,40.9577
106,Cyg X-3,Point,308.1074,40.9577
125,Cyg X-3,Point,308.1074,40.9577
115,Cyg X-3,Point,308.1074,40.9577
11,GRO J1008-57,Point,152.4333,-58.295
51,GS 1826-238,Point,277.3675,-23.7969
69,GX 17+2,Point,274.0057,-14.0362
126,GX 17+2,Point,274.0057,-14.0362
26,GX 301-2,Point,186.6565,-62.7703
58,GX 301-2,Point,186.6565,-62.7704
1,MAXI J1348-630,Point,207.0535,-63.2746
43,MAXI J1348-630,Point,207.0535,-63.2746
52,MAXI J1348-630,Point,207.0535,-63.2746
114,MAXI J1348-630,Point,207.0535,-63.2746
104,MAXI J1348-630,Point,207.0535,-63.2746
55,MAXI J1348-630,Point,207.0535,-63.2746
12,MAXI J1348-630,Point,207.0535,-63.2746
96,MAXI J1348-630,Point,207.0535,-63.2746
59,MAXI J1348-630,Point,207.0535,-63.2746
34,MAXI J1348-630,Point,207.0535,-63.2746
84,MAXI J1348-630,Point,207.0535,-63.2746
73,MAXI J1348-630,Point,207.0535,-63.2746
25,MAXI J1348-630,Point,207.0535,-63.2746
70,MAXI J1348-630,Point,207.0535,-63.2746
49,MAXI J1348-630,Point,207.0535,-63.2746
98,blank_sky1,Point,49.5352,-7.315
44,blank_sky4,Point,327.119,-42.4725
99,blank_sky4,Point,327.119,-42.4725
100,blanksky10,Point,345.6353,27.1995
45,blanksky10,Point,345.6353,27.1995
