Name,J2000_RA,J2000_Dec
8hr,124,-78.75
GRB 200205A,130.2291,-35.4127
9hr,133,-70.5
Vela X-1,135.5286,-40.5547
Cosmos Field,150.1192,2.2058
GRO J1008-57,152.4421,-58.2919
Dusty10,153,-80.8333
Antlia,157.5167,-35.3233
Dusty11,170,-85.3333
Cen X-3,170.3129,-60.6238
GX 301-2,186.6565,-62.7704
M87,187.7059,12.3911
Centaurus,192.2167,-41.3058
MAXI J1348-630,207.0535,-63.2746
H 1417-624,215.3033,-62.6983
PKS 1502+106,226.1042,10.4941
B1509-58,228.4813,-59.1358
Cir X-1,230.1702,-57.1667
MAXI J1535-571,233.832,-57.23
4U 1608-52,243.1792,-52.4231
Sco X-1,244.9795,-15.6403
NGC 6101,246.5,-73
MAXI J1631-479,247.7667,-47.92
IGR J16328-4726,248.1577,-47.3948
4U 1630-472,248.5067,-47.393
4U 1636-53,250.2312,-53.7513
4U 1636-536,250.2312,-53.7513
GX 340+0,251.4487,-45.6111
Her X-1,254.4575,35.3424
Swift J1658.2-4242,254.55,-42.7
GX 349+2,256.4354,-36.4231
1RXS J1708-4009,257.195,-40.127
MAXI J1727-203,262.1247,-20.3823
Swift J1728.9-3613,262.245,-36.2255
GX 9+9,262.934,-16.9614
4U 1728-34,262.9905,-33.834
H 1730-333,263.3525,-33.3888
XTE J1739-285,264.9748,-28.4963
H1743-322,266.565,-32.2333
GX 3+1,266.9833,-26.5636
GRO J1750-27,267.2908,-26.6369
Swift J1756.9-2508,269.2389,-25.1077
GX 13+1,273.6314,-17.1574
GX 17+2,274.0058,-14.0363
Swift J1818.0-1607,274.5009,-16.1312
MAXI J1820+070,275.091,7.1856
NGC 6624,275.9188,-30.361
2A 1822-371,276.445,-37.1052
GS 1826-238,277.3675,-23.7969
Ser X-1,279.9898,5.0359
SWIFT J1845.7-0037,281.478,-0.65953
EXO 1846-031,282.3205,-3.0654
4U1901+03,285.9046,3.1919
NGC 6744,287,-64.5
Aql X-1,287.8171,0.58494
GRS 1915+105,288.7981,10.9458
FRB 180916.J0158+65,29.5,65.7333
IGR J19294+1816,292.4829,18.3106
SGR 1935+2154,293.732,21.8967
XTE J1946+274,296.414,27.3654
Cyg X-1,299.5903,35.2016
PSR J2022+3842,305.5904,38.7041
RX J0209.6-7427,308.1074,40.9577
Cyg X-3,308.1074,40.9577
Field3,326.1667,-40.8333
Cyg X-2,326.1715,38.3214
DECam,335.2,-8.8
Cas A,350.85,58.815
Swift_J0243.6+6124,40.918,61.4341
CDFS,52.5,-28.1
Tycho,6.3083,64.1443
Crab,83.6331,22.0145
AO 0535+26,84.7274,26.3158
1A 0535+262,84.7274,26.3158
B0540-69,85.0452,-69.3317
MAXI J0637-430,99.0968,-42.8678